Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,
25.000.2111537.2020,SECRETARIA DE ESTADO DA SAÚDE,11/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"98.327,44",
25.000.3110595.2020,SECRETARIA DE ESTADO DA SAÚDE,11/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,23.543.020/0001-04 - MENDES & MANSUR ASSESSORIA ADUANEIRA E DE COMERCIO EXTERIOR LTDA - EPP,"43.365,00",
25.000.612508.2020,SECRETARIA DE ESTADO DA SAÚDE,11/02/2020,EMERGENCIAL DE MEDICAMENTO (FENTANIL 10MG/ML),Razão Social não encontrada,"5.224,20",
30.000.415827.2020,ENCARGOS GERAIS DO ESTADO,11/02/2020,LOCAÇÃO DE IMÓVEL DELEGACIA DE POLÍCIA CIVIL DE APARECIDA,032.609.544-65 - PAULO CÉSAR FRANÇA DE OLIVEIRA,"7.200,00",
25.000.1111590.2020,SECRETARIA DE ESTADO DA SAÚDE,12/02/2020,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL FORTINI ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"2.592,00",
25.000.1401510.2020,SECRETARIA DE ESTADO DA SAÚDE,12/02/2020,EMERGENCIAL DE MEDICAMENTO (DENOSUMABE 120MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"28.202,16",
25.000.2001574.2020,SECRETARIA DE ESTADO DA SAÚDE,12/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"153.600,70",
25.000.2401543.2020,SECRETARIA DE ESTADO DA SAÚDE,12/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,"50.288,40",
25.000.312663.2020,SECRETARIA DE ESTADO DA SAÚDE,12/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"241.218,00",
25.000.312666.2020,SECRETARIA DE ESTADO DA SAÚDE,12/02/2020,AQUIS EMERG DE KIT E MAT MÉDICOS P CONTROLE GLICÊMICO (ACCU CHECK LINK ASSIST E SPIRIT SERVICE PACK),05.329.222/0001-76 - SELLENE COMERCIO E REPRESENTACOES LTDA,"70.870,80",
25.000.1401509.2020,SECRETARIA DE ESTADO DA SAÚDE,13/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (LENALIDOMIDA 15MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"132.490,89",
25.000.1401512.2020,SECRETARIA DE ESTADO DA SAÚDE,13/02/2020,AQUISIÇÃO EMERGENCIAL DE MATERIAL MÉDICO,05.329.222/0001-76 - SELLENE COMERCIO E REPRESENTACOES LTDA,"10.630,85",
25.000.2012512.2020,SECRETARIA DE ESTADO DA SAÚDE,13/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (NIVOLUMABE 100MG) ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,"161.260,08",
25.000.2910507.2020,SECRETARIA DE ESTADO DA SAÚDE,13/02/2020,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (USTEQUINUMABE 45MG/0,5ML",51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"30.133,89",
25.000.2910509.2020,SECRETARIA DE ESTADO DA SAÚDE,13/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.998.982/0031-22 - BRISTOL - MYERS SQUIBB FARMACEUTICA LTDA,"271.165,44",
25.000.312668.2020,SECRETARIA DE ESTADO DA SAÚDE,13/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.998.982/0031-22 - BRISTOL - MYERS SQUIBB FARMACEUTICA LTDA,"161.118,96",
25.000.1401511.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0001-87 - JANSSEN-CILAG FARMACÊUTICA LTDA,"7.675,64",
25.000.1401514.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"58.035,65",
25.000.1401519.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"98.413,64",
25.000.2111539.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (VENETOCLAX 100MG),15.800.545/0003-11 - ABBVIE FARMACEUTICA LTDA,"165.240,00",
25.000.2401542.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,QUISIÇÃO EMERGENCIAL DE MEDICAMENTO (VANDETANIB 300MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"494.190,00",
25.000.2811581.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0001-87 - JANSSEN-CILAG FARMACÊUTICA LTDA,"30.355,68",
25.000.810566.2020,SECRETARIA DE ESTADO DA SAÚDE,14/02/2020,AQUISIÇÃO EMERGENCIAL DE FRALDAS GERIÁTRICAS DIVERSAS,12.040.718/0001-90 - GRADUAL COMERCIO E SERVICOS EIRELI - ME,"27.745,10",
26.201.001037.2020,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,14/02/2020,"PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE LIMPEZA, HIGIENIZAÇÃO PREDIAL E CONSERVAÇÃO.",07.990.965/0001-18 - ÁGAPE CONSTRUÇÕES E SERVIÇOS LTDA,"1.518.476,76",
25.000.1207513.2020,SECRETARIA DE ESTADO DA SAÚDE,17/02/2020,AQUISIÇÃO DE PROCESSADOR DE SOM NUCLEUS 7 CP 1000 E ACESSÓRIOS,43.894.609/0001-64 - POLITEC IMPORTACAO E COMERCIO LIMITADA,"47.489,05",
25.000.1401506.2020,SECRETARIA DE ESTADO DA SAÚDE,17/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (USTEQUINUMABE 90MG/ML),51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"100.446,15",
25.000.1410532.2020,SECRETARIA DE ESTADO DA SAÚDE,17/02/2020,AQUISIÇÃO DE IMPLANTE COCLEAR UNILATERAL (PROCESSADOR DE SOM NUCLEUS 7 MODELO CP1000),43.894.609/0001-64 - POLITEC IMPORTACAO E COMERCIO LIMITADA,"46.000,00",
25.000.1501594.2020,SECRETARIA DE ESTADO DA SAÚDE,17/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (BENDAMUSTINA 100MG E OBINUTUZUMABE 25MG/ML),33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"179.928,96",
25.000.2012515.2020,SECRETARIA DE ESTADO DA SAÚDE,17/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"70.030,80",
31.202.001166.2020,SEIE/SUPERINTENDÊNCIA DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO,17/02/2020,REFORMA E AMPLIAÇÃO DO MERCADO PUBLICO DE JURIPIRANGA/PB.,04.023.803/0001-12 - CONSTRUDANTAS CONST.E INCORPORACAO LTDA - EPP,"600.769,75",
25.000.1401507.2020,SECRETARIA DE ESTADO DA SAÚDE,18/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"88.360,40",
25.000.2001539.2020,SECRETARIA DE ESTADO DA SAÚDE,18/02/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,21.528.104/0001-43 - GENEMG NUCLEO DE GENETICA MEDICA DE MINAS GERAIS LTDA,"2.590,00",
25.000.2012511.2020,SECRETARIA DE ESTADO DA SAÚDE,18/02/2020,"AQUISIÇÃO EMERGENCIAL DE MED (PALIPERIDONA 75MG, PALIPERIDONA 100MG E PALIPERIDONA 150MG)",51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"36.381,98",
25.000.2401552.2020,SECRETARIA DE ESTADO DA SAÚDE,18/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"81.374,40",
25.000.2011649.2020,SECRETARIA DE ESTADO DA SAÚDE,19/02/2020,AQUISIÇÃO EMERGENCIAL DE APARELHO E MÁSCARA DE CPAP,27.767.709/0001-73 - LDG4 COMERCIO ELETRONICO DE EQUIPAMENTOS LTDA,"3.308,99",
25.000.2712545.2020,SECRETARIA DE ESTADO DA SAÚDE,19/02/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CROMOSSOMO X FRÁGIL,17.332.175/0001-07 - VIA DIAGNÓSTICO LTDA,"596,70",
25.000.512527.2020,SECRETARIA DE ESTADO DA SAÚDE,19/02/2020,AQUISIÇÃO EMERGENCIAL DE FÓRMULA NUTRICIONAL,17.733.261/0001-13 - WMC TECNOLOGIA EM SAUDE IMPORTAÇÃO E EXPORTAÇÃO LTDA,"106.200,00",
25.205.001038.2020,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,19/02/2020,AQUISIÇÃO DE REAGENTES LABORATORIAIS C/FORNECIMENTO DE EQUIPAMENTO EM COMODATO,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,"197.175,00",
25.000.502501.2020,SECRETARIA DE ESTADO DA SAÚDE,21/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (EVEROLIMO 10MG),11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"127.497,60",
25.000.502508.2020,SECRETARIA DE ESTADO DA SAÚDE,21/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (NUTRINI ENERGY FIBER 500ML,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"16.560,00",
25.000.811590.2020,SECRETARIA DE ESTADO DA SAÚDE,21/02/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME,Razão Social não encontrada,"990,00",
25.000.1911515.2020,SECRETARIA DE ESTADO DA SAÚDE,26/02/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME PAINEL FARMACOGENÉTICO,32.296.665/0001-80 - CONECTGENE LOGISTICA E SERVIÇOS DE TESTES GENETICOS LTDA,"1.980,00",
30.000.385758.2020,ENCARGOS GERAIS DO ESTADO,26/02/2020,LOCAÇÃO DE IMÓVEL CAPS PM - CAMPINA GRANDE,607.674.994-68 - VICENTE ROCHA JUNIOR,"38.400,00",
25.000.1501570.2020,SECRETARIA DE ESTADO DA SAÚDE,27/02/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME EXOMA (SEQUENCIAMENTO DE TODOS OS GENES),06.069.729/0001-09 - MEDICA COMERCIO REPRESENTACAO E IMPORTACAO LTDA,"5.391,00",
25.000.1812526.2020,SECRETARIA DE ESTADO DA SAÚDE,27/02/2020,CONT EMERG DE CLÍNICA PARA REALIZAÇÃO DE 50 (CINQUENTA) SESSÕES DE OXIGENOTERAPIA HIPERBÁRICA,28.154.149/0001-44 - CLÍNICA MÉDICA HIPERBÁRICA PARAÍBA LTDA,"19.000,00",
25.000.2911524.2020,SECRETARIA DE ESTADO DA SAÚDE,27/02/2020,AQUISIÇÃO EMERGENCIAL DE CARRINHO INFANTIL,10.852.945/0001-95 - SCD IND.E COM.DE APAR.ORTOPEDICOS LTDA-EPP,"3.780,00",
25.000.302588.2020,SECRETARIA DE ESTADO DA SAÚDE,27/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRIDOSTIGMINA 60MG),07.484.373/0001-24 - UNI HOSPITALAR LTDA,"11.193,60",
19.000.038966.2020,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,28/02/2020,AQUISIÇÃO DE PASSAGENS AÉREAS - POLLYANNA MARIA LORETO MEIRA,00.448.994/0001-03 - CLASSIC VIAGENS E TURISMO EIRELI,"3.002,99",
19.000.040286.2020,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,28/02/2020,AQUISIÇÃO DE PASSAGENS AÉREAS - VIVIANNE PEREIRA ALMEIDA DINIZ,00.448.994/0001-03 - CLASSIC VIAGENS E TURISMO EIRELI,"3.002,99",
25.000.1302512.2020,SECRETARIA DE ESTADO DA SAÚDE,28/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,81.887.838/0007-36 - PROFARMA SPECIALTY S/A,"653.104,62",
25.000.200120577.2020,SECRETARIA DE ESTADO DA SAÚDE,28/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TACROLIMO XL 1MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"6.264,00",
25.000.2201568.2020,SECRETARIA DE ESTADO DA SAÚDE,28/02/2020,AQUISIÇÃO EMERGENCIAL DE APARELHO BIPAP ,04.238.951/0001-54 - LOCMED HOSPITALAR LTDA,"23.500,00",
25.000.502506.2020,SECRETARIA DE ESTADO DA SAÚDE,28/02/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Razão Social não encontrada,"318.097,44",
25.000.1401513.2020,SECRETARIA DE ESTADO DA SAÚDE,02/03/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,"2.095,20",
30.000.018591.2020,ENCARGOS GERAIS DO ESTADO,02/03/2020,LOCAÇÃO DE IMÓVEL SEDE DA SECRETARIA DE ESTADO DA COMUNICAÇÃO INSTITUCIONAL,206.102.894-20 - MARCOS ANTONIO JACOME SOARES DE CAVALHO,"120.230,76",
25.000.2111522.2020,SECRETARIA DE ESTADO DA SAÚDE,03/03/2020,EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,04.539.279/0001-37 - CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,"2.035,00",
25.215.000003.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,03/03/2020,AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO (CARGA A GRANEL),11.893.112/0001-35 - SOS GAS DISTRIBUIDORA LTDA,"43.379,40",
25.215.000004.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,03/03/2020,AQUISIÇÃO DE MATERIAL DESCARTÁVEL E DIVERSOS,34.387.726/0001-40 - BRUCE LEE DE LIMA MONTEIRO,"819.360,47",
25.000.2401508.2020,SECRETARIA DE ESTADO DA SAÚDE,04/03/2020,AQUISIÇÃO EMERGENCIAL DE PROTESE TRANSFEMURAL,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,"26.800,00",
25.000.312546.2020,SECRETARIA DE ESTADO DA SAÚDE,04/03/2020,AQUISIÇÃO EMERGENCIAL DE ÓRTESES SUROPODÁLICAS ARTICULARES...,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,"1.640,00",
25.000.1302508.2020,SECRETARIA DE ESTADO DA SAÚDE,06/03/2020,EMERGENCIAL DE MEDICAMENTOS (VEDOLIZUMABE 300MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"69.642,78",
25.000.502509.2020,SECRETARIA DE ESTADO DA SAÚDE,06/03/2020,AQUISIÇÃO EMERG DE MED(SACUBITRIL/VALSARTANA DE 49/51MG E DE 97/103MG E RIVAROXABANA 10MG),56.994.502/0027-79 - NOVARTIS BIOCIENCIAS SA,"3.344,40",
25.000.801596.2020,SECRETARIA DE ESTADO DA SAÚDE,06/03/2020,EMERGENCIAL DE PRÓTESE TRANSFEMURAL ,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,"26.800,00",
25.213.000186.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,06/03/2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE EXAMES LABORATORIAIS,09.199.878/0001-72 - LACIL - LABORATORIO DE ANALISES CLINICAS DR. ISAAC LORDAO LTDA,"273.348,90",
25.000.502503.2020,SECRETARIA DE ESTADO DA SAÚDE,09/03/2020,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (NIVOLUMABE DE 10MG/ML,FA 10ML E DE 10MG/ML, FA 4ML",56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,"419.276,28",
25.000.502601.2020,SECRETARIA DE ESTADO DA SAÚDE,09/03/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,56.998.982/0031-22 - BRISTOL - MYERS SQUIBB FARMACEUTICA LTDA,"112.882,08",
25.215.000013.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,09/03/2020,AQUISIÇÃO DE MEDICAMENTOS FÁRMACO QUE ATUAM NO SISTEMA NERVOSO,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"1.314.106,31",
25.215.000016.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,09/03/2020,AQUISIÇÃO DE INSUMOS PARA AGÊNCIA TRANSFUSIONAL,13.626.917/0001-48 - COMÉRCIO DE PRODUTOS PARA DIAGNÓSTICO HUMANO LTDA - ME,"16.770,30",
25.215.000018.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,09/03/2020,AQUISIÇÃO DE MATERIAL DE LAVANDERIA ,09.647.712/0001-71 - NEW CLEAN INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA EIRELI,"136.188,00",
25.215.000020.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,09/03/2020,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM APARELHOS DE REFRIGERAÇÃO,12.924.643/0001-00 - TS REFRIGERAÇÃO SERVIÇOS,"217.500,00",
25.215.000022.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,09/03/2020,SERVIÇO DE LOCAÇÃO DE IMPRESSORAS TÉRMICAS E LEITORES DE CÓDIGOS DE BARRAS,02.199.904/0001-13 - TELASAT LOCADORA DE TELÕES LTDA - ME,"21.780,00",
25.000.1302511.2020,SECRETARIA DE ESTADO DA SAÚDE,10/03/2020,AQUISIÇÃO EMERGENCIAL DE FÓRMULA NUTRICIONAL (NUTILIS 300G) ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"930,00",
25.000.1902537.2020,SECRETARIA DE ESTADO DA SAÚDE,10/03/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DARATUMUMABE 100 E 400MG),51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"287.128,00",
25.000.1902541.2020,SECRETARIA DE ESTADO DA SAÚDE,10/03/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"468.581,82",
25.215.000023.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE EQUIPOS PARA BOMBA DE INFUSÃO,"13.047.802/0001-07 - REDMED COMERCIO, SERVICOS E LOCACAO LTDA","469.986,00",
25.215.000024.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE MATERIAL DE LIMPEZA DE COZINHA,41.116.302/0001-07 - MULTQUIL DISTRIBUIDORA E SERVIÇOS DE LIMPEZA LTDA - ME,"62.344,50",
25.215.000026.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE LEITES E DERIVADOS,07.227.808/0001-55 - B.J. COMERCIO DE ALIMENTOS LTDA,"194.378,00",
25.215.000028.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE FIOS DE SUTURA,37.844.479/0001-52 - BIOLINE FIOS CIRURGICOS LTDA,"99.929,88",
25.215.000029.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE CURATIVOS ESPECIAIS,22.465.640/0001-00 - MJ  COMERCIO DE ARTIGOS MÉDICOS E ORTOPÉDICOS LTDA - ME,"197.091,60",
25.215.000030.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE CARNES E ASSEMELHADOS,26.290.355/0001-56 - LUCIELMA MARIA OLIVEIRA DA SILVA - EPP,"1.061.347,00",
25.215.000032.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE TECIDOS E AVIAMENTOS,02.393.076/0001-50 - UNIMIXX COMERCIO E SERVICOS EIRELI,"786.150,40",
25.215.000036.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE MEDICAMENTOS SOROS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"982.653,00",
25.215.000039.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,AQUISIÇÃO DE GÊNEROS SECOS ALIMENTÍCIOS,04.462.687/0001-38 - CHRISTIANNY MAROJA,"527.734,76",
25.215.000040.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,10/03/2020,SERVIÇOS NEFROLOGICOS,10.891.830/0001-00 - CLINICA MÉDICA DE SERVIÇOS NEFROLÓGICOS LTDA,"392.400,00",
16.000.000005.2020,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DO DESENVOLVIMENTO DO SEMIÁRIDO,11/03/2020,CONTRATAÇÃO DE ASSESSORIA TÉCNICA PARA ATIVIDADES DE ENCERRAMENTO DO PROJETO PROCASE.,"33..82.0.7/85/0-00 - EMPRESA PARAIBANA DE PESQUISA, EXTENSÃO RURAL E REGULARIZAÇÃO FUNDIÁRIA - EMPAER","600.000,00",
25.215.000043.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,11/03/2020,SERVIÇO DE EXAMES ANATOMOPATOLÓGICO,09.139.189/0001-72 - SERVIÇO DE CITOLOGIA E COLPOSCOPIA LTDA,"9.840,00",
25.215.000044.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,11/03/2020,SERVIÇO DE OUTSOURCING DE IMPRESSÃO,02.914.690/0001-10 - COPY LINE COMERCIO E SERVICOS LTDA,"80.404,44",
25.215.000046.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,11/03/2020,SERVIÇO DE SISTEMA DE GESTÃO HOSPITALAR,01.790.382/0001-67 - VITAI SOLUÇOES LTDA,"67.200,00",
25.215.000047.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,11/03/2020,SERVIÇO DE MANUTENÇÃO EM GERADORES,09.502.112/0001-15 - ELENET - SERVICOS TECNICOS LTDA,"37.800,00",
25.215.000048.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,11/03/2020,AQUISIÇÃO DE INSUMOS PARA CDI COM EQUIPAMENTOS EM COMODATO,07.160.019/0001-44 - VITALE COMÉRCIO LTDA,"143.929,50",
30.000.360178.2020,ENCARGOS GERAIS DO ESTADO,11/03/2020,LOCAÇÃO DE IMÓVEL OUVIDORIA DE POLÍCIA CIVIL EM JOÃO PESSOA,24.219.966/0001-82 - EXECUT CONSULTORIA & NEGOCIOS IMOBILIARIOS LTDA,"34.800,00",
25.000.702501.2020,SECRETARIA DE ESTADO DA SAÚDE,12/03/2020,AQUISIÇÃO EMERGENCIAL DE FÓRMULAS INFANTIS,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"11.378,40",
25.215.000052.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,12/03/2020,AQUISIÇÃO DE MEDICAMENTOS DIVERSOS,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"1.180.415,60",
