Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado
25.239.000023.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,15/01/2021,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO AR COMPRIMIDO,"07.759.127/0001-38 - FULLTECH INDUSTRIA, COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA","106.800,00"
25.239.000025.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,15/01/2021,MATERIAL E EQUIPAMENTO CHILLERS,18.491.735/0001-20 - THAYRINE SILVA FERREIRA,"9.450,18"
25.206.000002.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/01/2021,AQUISIÇÃO MATERIAL DE LAVANDERIA,09.647.712/0001-71 - NEW CLEAN INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA EIRELI,"132.000,00"
25.206.000003.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/01/2021,"AQUISIÇÃO MATERIAL HIGIENE, LIMPEZA E DESCARTÁVEL",04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA,"663.269,96"
25.206.000004.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/01/2021,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS,26.290.355/0001-56 - LUCIELMA MARIA OLIVEIRA DA SILVA - EPP,"71.666,00"
25.206.000005.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/01/2021,AQUISIÇÃO DE CARNE BOVINA E FRANGO,21.778.760/0001-02 - JF CARNES E FRIOS COMERCIO EIRELI,"406.700,00"
25.206.000006.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/01/2021,AQUISIÇÃO DE HORTIGRUTIGRANJEIROS,00.821.449/0001-10 - ROSEMBLITH DE ARAUJO SILVA,"131.071,25"
30.000.040201.2021,ENCARGOS GERAIS DO ESTADO,18/01/2021,LOCAÇÃO DE IMÓVEL SEDE DO PROGRAMA DE ARTESANATO DA PARAÍBA EM JOÃO PESSOA,441.790.497-91 - MARCOS VINICIUS DA SILVA,"15.207,60"
25.000.1612517.2021,SECRETARIA DE ESTADO DA SAÚDE,19/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"45.183,00"
25.000.1612518.2021,SECRETARIA DE ESTADO DA SAÚDE,19/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"470.547,00"
25.213.000058.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,19/01/2021,AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO,40.953.200/0001-83 - CONSTRUCENTER LTDA,"23.221,00"
25.213.000059.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,19/01/2021,AQUISIÇÃO DE MATERIAIS DE ELÉTRICOS,40.953.200/0001-83 - CONSTRUCENTER LTDA,"32.867,00"
25.215.000004.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,19/01/2021,AQUISIÇAO DE MATERIAL PARA AGÊNCIA TRANSFUSIONAL,04.666.364/0001-66 - CDH - CENTRO DE DIAGNOSTICO HUMANO LTDA - ME,"40.482,60"
25.239.000028.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,AQUISIÇÃO DE UTENSILIOS LACTARIO,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"1.751,52"
25.239.000029.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,PRODUTOS FRIOS E LATICINIOS,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"41.445,00"
25.239.000030.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,PRODUTOS PROTEÍNAS,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"631.331,04"
25.239.000031.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,AQUISIÇÃO DE PRODUTOS  DESCARTÁVEIS,34.387.726/0001-40 - BRUCE LEE DE LIMA MONTEIRO,"365.883,18"
25.239.000032.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,NUTRIÇÃO GENERO ALIMENTICIO 1,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"109.999,56"
25.239.000033.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,NUTRIÇÃO GENERO ALIMENTICIO 2,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"106.402,80"
25.000.1612512.2021,SECRETARIA DE ESTADO DA SAÚDE,20/01/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL (APTAMIL SOJA 2 800GR) ,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"1.887,36"
25.000.1612514.2021,SECRETARIA DE ESTADO DA SAÚDE,20/01/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL (NOVAMIL RICE 400GR) ,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","13.410,00"
25.000.1712537.2021,SECRETARIA DE ESTADO DA SAÚDE,20/01/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL (NOVAMIL RICE 400GR),"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","10.728,00"
25.206.000020.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,20/01/2021,AQUISIÇÃO DE TECIDOS E AVIAMENTOS,19.752.596/0001-04 - CENTER COMERCIAL FORMIGA LTDA,"274.910,00"
25.239.000034.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,AQUISIÇÃO DE UTENSILIOS PARA COZINHA,33.932.061/0001-46 - LEÃO SERVIÇO E COMERCIO VAREJISTA DE ELETROELETRÔNICO LTDA,"3.711,14"
25.239.000035.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,AQUISIÇÃO DE HORTIFRUTIGRANJEIRO,03.160.525/0001-82 - NORT FRUT EIRELI,"110.370,12"
25.239.000036.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,MATERIAL HOSPITALAR,17.385.610/0001-53 - NEOFLEX BIOTECNOLOGIA LTDA,"7.200,00"
25.239.000038.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,MATERIAL HOSPITALAR,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"195.360,00"
25.239.000039.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,MATERIAL HOSPITALAR,03.246.587/0001-01 - SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,"20.000,00"
25.239.000040.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,AQUISIÇÃO DE MATERIAL DESCARTAVEL,06.217.117/0001-08 - ART MEDICAL PRODUTOS MEDICO-HOSPITALARES LTDA  - EPP,"11.250,00"
25.000.611544.2021,SECRETARIA DE ESTADO DA SAÚDE,21/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"869.259,60"
25.229.000003.2021,SES/HOSPITAL REGIONAL WENCESLAU LOPES - PIANCO,21/01/2021,CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE SESSOES DE HEMODIALISE NOS LEITOS DE UTI,21.824.717/0001-28 - NEPHRON PARAÍBA SERVIÇOS DE NEFROLOGIA LTDA,"66.000,00"
25.229.000004.2021,SES/HOSPITAL REGIONAL WENCESLAU LOPES - PIANCO,21/01/2021,CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÕES DE EXAMES LABORATORIAIS DESTINADOS AOS PACIENTES COVID-19.,10.485.989/0001-24 - MEDICAL CENTER- COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA - ME,"127.500,00"
25.239.000043.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,02.977.362/0001-62 - A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA,"35.400,00"
25.239.000044.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"12.484,80"
25.239.000045.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,10.461.807/0001-85 - PHARMEDICE MANIPULACOES ESPECIALIZADAS EIRELI,"2.930,00"
25.239.000046.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MATERIAL DESCARTAVEL,04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA,"5.699,00"
25.239.000048.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"999.686,68"
25.239.000049.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,MATERIAL HOSPITALAR OPME,29.444.380/0001-35 - CONECTA HOSPITALAR,"2.000,00"
25.239.000050.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,MATERIAL MANUTEÇÃO,02.393.076/0001-50 - UNIMIXX COMERCIO E SERVICOS EIRELI,"39.562,00"
25.239.000051.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,22/01/2021,AQUISIÇÃO DE ENXOVAIS/UNIFORMES,32.823.138/0001-87 - RK PERSONALIZADOS,"311.915,00"
25.000.2011632.2021,SECRETARIA DE ESTADO DA SAÚDE,25/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PALBOCICLIBE 125 MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"94.174,08"
25.000.2611619.2021,SECRETARIA DE ESTADO DA SAÚDE,25/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DUPILUMABE 300 MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"42.170,66"
25.000.701551.2021,SECRETARIA DE ESTADO DA SAÚDE,25/01/2021,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"14.784,00"
25.239.000056.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,25/01/2021,AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"9.572,90"
25.239.000057.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,25/01/2021,AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"11.197,88"
25.239.000059.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,25/01/2021,MATERIAL HOSPITALAR,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"134.292,81"
25.240.000017.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,25/01/2021,AQUISIÇÃO DE REFEIÇÕES TIPO QUENTINHA DESTINADO AO COMBATE AO COVID-19,33.195.006/0001-10 - SARAH MAYRLA AGRICIO AT,"1.072.980,00"
31.203.000009.2021,SEIE/COMPANHIA DOCAS DA PARAÍBA,25/01/2021,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DOS SERVIÇOS DE PLANO DE SAUDE,08.680.639/0001-77 - UNIMED JOAO PESSOA COOPERATIVA DE TRABALHO MEDICO,"119.111,79"
15.201.000005.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,26/01/2021, GASES MEDICINAIS,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"636.186,12"
15.201.000006.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,26/01/2021,INSUMOS DE LABORATÓRIO,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,"223.376,00"
25.000.112517.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"299.643,84"
25.000.1301542.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021, EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20 MG),"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","39.164,16"
25.000.1612516.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,EMERGENCIAL DE CURATIVOS BIOLÓGICOS E MEDICAMENTOS ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"13.678,50"
25.000.1712535.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (TEMOZOLOMIDA DE 20/100/250 MG),11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"227.957,00"
25.000.2011631.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"256.410,72"
25.000.2011633.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021, MEDICAMENTO (PEMBROLIZUMABE 100 MG/04 ML),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"224.733,06"
25.000.701550.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,MEDICAMENTO (SUCCINATO DE RIBOCICLIBE 200 MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"89.699,40"
25.000.701553.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DUPILUMABE DE 200 E 300MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"124.232,64"
25.206.000049.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,26/01/2021,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR,05.932.624/0001-60 - MEGAMED COMERCIO LTDA,"555.578,00"
25.000.701548.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"33.506,70"
25.000.1011525.2021,SECRETARIA DE ESTADO DA SAÚDE,27/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"892.530,60"
25.000.1301525.2021,SECRETARIA DE ESTADO DA SAÚDE,27/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"61.866,72"
25.000.2611620.2021,SECRETARIA DE ESTADO DA SAÚDE,27/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"63.002,16"
25.203.002210.2021,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,27/01/2021,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR - AVENTAIS - COVID 19,10.939.067/0001-40 - GUERRA E DANTAS SERVIÇOS E COM DE VESTUÁRIO LTDA - ME,"586.070,00"
25.239.000060.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE ACESSORIO PARA POLÍGRAFO,26.603.680/0001-21 - MORAMED MANUTENCAO E VENDA DE ACESSORIOS MEDICO HOSPITALAR LTDA,"4.030,00"
25.239.000062.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,MATERIAL HOSPITALAR,56.942.527/0001-90 - PANMEDICA NEGOCIOS HOSPITALARES LTDA.,"38.738,00"
25.239.000063.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE MEDICAMENTOS,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,"9.600,00"
25.239.000064.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE MEDICAMENTOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"1.677,00"
25.239.000065.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,MATERIAL HOSPITALAR,07.552.997/0002-12 - PROMEDICA - COMERCIO E ASSISTENCIA TECNICA MEDICA LTDA,"60.270,00"
25.239.000066.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE MEDICAMENTOS,38.346.373/0001-91 - C R SILVA LIBERATO COMERCIO DE MEDICAMENTO LTDA,"35.472,00"
25.239.000068.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,NUTRIÇÃO  ALIMENTOS DO GENERO ALIMENTICIO 3,04.462.687/0001-38 - CHRISTIANNY MAROJA,"85.369,38"
25.239.000069.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE POLPA DE FRUTA,23.265.304/0001-86 - EZEQUIAS VIEIRA DA SILVA,"33.480,00"
24.000.005632.2021,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,28/01/2021,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM SISTEMA DE VIDEOMONITORAMENTO,04.520.605/0001-64 - MAX LIRA SEGURANCA ELETRONICA COMERCIO E ATIVIDADES DE SEGURANCA EIRELI,"25.000,00"
25.000.1301524.2021,SECRETARIA DE ESTADO DA SAÚDE,28/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (INSULINA ASPART AÇÃO RÁPIDA 100 UI/ML) ,09.053.134/0002-26 - ELFA MEDICAMENTOS S.A,"1.734.850,00"
25.000.701549.2021,SECRETARIA DE ESTADO DA SAÚDE,28/01/2021,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (NEO SPOON),"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","12.483,00"
25.210.000023.2021,SES/HOSPITAL REGIONAL DE PATOS,28/01/2021,AQUISIÇÃO DE GÁS LIQUEFEITO,03.092.570/0001-47 - REVENDEDORA DE GAS DO BRASIL LTDA,"38.543,40"
25.000.2011634.2021,SECRETARIA DE ESTADO DA SAÚDE,29/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"149.821,92"
25.207.000017.2021,SES/COMPLEXO DE SAÚDE DE GUARABIRA,29/01/2021,SERVIÇO DE FORNECIMENTO DE INTERNET,17.275.773/0001-83 - ME TELECOM SOLUÇÕES E SERVIÇOS DE TELECOMUNICAÇÕES EIRELI,"7.200,00"
25.239.000070.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/01/2021,AQUISIÇÃO DE INSUMOS CME,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"181.430,40"
25.239.000071.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/01/2021,AQUISIÇÃO DE UTENSILIOS PARA COZINHA ,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"5.681,06"
