Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado
25.000.010131.2023,SECRETARIA DE ESTADO DA SAÚDE,04/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,35.753.111/0001-53 - NORD PRODUTOS EM SAUDE LTDA,"228.539,64"
25.000.011484.2023,SECRETARIA DE ESTADO DA SAÚDE,04/01/2023,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL ,43.519.181/0001-70 - ASERVE PHARMA EPP LTDA,"12.204,00"
25.000.012386.2023,SECRETARIA DE ESTADO DA SAÚDE,04/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO LUCENTIS ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA ME,"6.000,00"
25.000.013908.2023,SECRETARIA DE ESTADO DA SAÚDE,04/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DE INJEÇÃO INTRAVÍTREA,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"6.000,00"
25.000.011629.2023,SECRETARIA DE ESTADO DA SAÚDE,05/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DE INJEÇÃO INTRAVÍTREA,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"3.000,00"
25.000.014117.2023,SECRETARIA DE ESTADO DA SAÚDE,05/01/2023,AQUISIÇÃO EMERGENCIAL DE KIT DE CONTROLE DE GLICEMIA DA ABBOTT ,56.998.701/0034-84 - ABBOTT LABORATORIAIS DO BRASIL LTDA,"4.548,70"
25.000.014939.2023,SECRETARIA DE ESTADO DA SAÚDE,05/01/2023,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"5.535,60"
25.000.002966.2023,SECRETARIA DE ESTADO DA SAÚDE,06/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO T ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"3.000,00"
25.000.011893.2023,SECRETARIA DE ESTADO DA SAÚDE,06/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA - ME,"3.000,00"
25.000.008182.2023,SECRETARIA DE ESTADO DA SAÚDE,09/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO AFLIBERCEPT ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA ME,"4.000,00"
25.000.008572.2023,SECRETARIA DE ESTADO DA SAÚDE,09/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO T ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"3.000,00"
25.000.012306.2023,SECRETARIA DE ESTADO DA SAÚDE,09/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO T ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"6.000,00"
25.203.012876.2023,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,09/01/2023,EMERGENCIAL DE OXIGÊNIO LÍQUIDO,24.380.578/0020-41 - WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA,"503.520,00"
22.201.000026.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,10/01/2023,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA,12.727.476/0001-08 - S & A EVENTOS EIRELI - ME,"6,93"
25.000.000382.2023,SECRETARIA DE ESTADO DA SAÚDE,10/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO,12.646.171/0003-33 - CENTRO PARAIBANO DE CLÍNICA E CIRURGIA DE OLHOS LTDA - ME,"3.000,00"
25.000.010760.2023,SECRETARIA DE ESTADO DA SAÚDE,10/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO,12.646.171/0003-33 - CENTRO PARAIBANO DE CLÍNICA E CIRURGIA DE OLHOS LTDA - ME,"12.000,00"
25.000.012592.2023,SECRETARIA DE ESTADO DA SAÚDE,10/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA P PRESTAÇÃO DE SERVIÇOS MÉD P APLICAÇÃO DE INJEÇÕES INTRAVÍTREAS,12.646.171/0003-33 - CENTRO PARAÍBANO DE CLINICA E CIRURGIA DE OLHOS LTDA.,"6.000,00"
25.000.013261.2023,SECRETARIA DE ESTADO DA SAÚDE,10/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DE INJEÇÃO INTRAVÍTREA ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA ME,"12.000,00"
25.000.014013.2023,SECRETARIA DE ESTADO DA SAÚDE,10/01/2023,MEDICAMENTOS (ÁCIDO ACETILSALICÍLICO 100 MG TAMPONADO E ROSUVASTATINA CÁLCICA 10 MG),04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"788,40"
25.000.009330.2023,SECRETARIA DE ESTADO DA SAÚDE,11/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DE INJEÇÃO INTRAVÍTREA,12.646.171/0001-71 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"3.000,00"
25.208.000005.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,11/01/2023,"SERVIÇO DE LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS (AR COMPRIMIDO, OXIGÊNIO  E VÁCUO)",05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,"254.340,00"
25.208.000006.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,11/01/2023,SERVIÇO DE MANUTENÇÃO PREV. E CORRET. EM EQUIPAMENTOS MÉDICOS E HOSPITALARES COM REPOSIÇÃO DE PEÇAS,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"168.000,00"
25.208.000007.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,11/01/2023,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM APARELHOS DE AR-CONDICIONADO COM REPOSIÇÃO DE PEÇAS,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"60.000,00"
25.208.000003.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,12/01/2023,MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO,Razão Social não encontrada,"150.313,64"
25.208.000009.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,13/01/2023,AQUISIÇÃO DE ÁGUA MINERAL,26.489.415/0001-64 - IRENE MACEDO BARROS,"33.120,00"
25.000.007648.2023,SECRETARIA DE ESTADO DA SAÚDE,16/01/2023,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS MOTORIZADA ,18.485.178/0001-35 - LA COMERCIO DE PRODUTOS ORTOPEDICOS LTDA ME,"12.000,00"
25.000.009947.2023,SECRETARIA DE ESTADO DA SAÚDE,16/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","195.552,00"
25.205.012523.2023,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,16/01/2023,"MEDICAMENTOS COMPRIMIDOS, CREMES E GOTAS",38.346.373/0001-91 - C R SILVA LIBERATO COMERCIO DE MEDICAMENTO LTDA,"179.792,59"
25.205.012525.2023,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,16/01/2023,AQUISIÇÃO DE CURATIVOS,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"326.928,00"
10.000.000008.2023,SECRETARIA DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA,17/01/2023,CONTRATAÇÃO DE EMPRESA PARA SERVIÇO DE REFEIÇÃO PARA EVENTOS ,"16.631.594/0001-79 - DROP'S BUFFET, EVENTOS E ESCOLA GASTRONÔMICA LTDA","56.770,00"
10.000.000009.2023,SECRETARIA DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA,17/01/2023,CONTRATAÇÃO DE EMPRESA PARA SERVIÇO DE LOCAÇÃO DE CAMERA ,22.638.192/0001-07 - DIEGO DE ALMEIDA FRANCO,"21.934,00"
22.201.000088.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,17/01/2023,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"30.000,00"
25.000.013868.2023,SECRETARIA DE ESTADO DA SAÚDE,17/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DE INJEÇÃO INTRAVÍTREA ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"3.000,00"
25.205.012530.2023,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,17/01/2023,AQUISIÇÃO DE MATERIAL HOSPITALAR - EPI S,31.052.856/0001-34 - MULTIFLIX,"282.956,00"
25.208.000011.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,18/01/2023,AQUISIÇÃO DE MEDICAMENTOS,02.977.362/0001-62 - A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA,"1.872.278,34"
25.237.000010.2023,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),18/01/2023,AQUISICAO DE MEDICAMENTOS ANTIMICROBIANOS,38.346.373/0001-91 - C R SILVA LIBERATO COMERCIO DE MEDICAMENTO LTDA,"204.983,65"
25.237.000014.2023,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),18/01/2023,AQUISICAO DE MEDICAMENTOS DIVERSOS,21.596.736/0001-44 - ULTRAMEGA DISTRIBUIDORA HOSPITALAR LTDA,"246.545,80"
25.237.000015.2023,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),18/01/2023,CONTRATACAO DE EMPRESA ESPECIALIZADA EM SERVICOS DE DIAGNOSTICO LABORATORIAIS DE ANALISES CLINICAS,32.958.432/0001-04 - SLE SERVIÇO DE LABORATÓRIO ESPECIALIZADO LTDA,"337.431,54"
10.000.000012.2023,SECRETARIA DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA,19/01/2023,SERVIÇO DE MANUTENÇÃO PREDIAL - ENTREGA DO IMOVEL ONDE FUNCIONAVA A CASA ABRIGO ARYANE THAIS,39.922.314/0001-87 - TORRES CONSTRUÇÕES LTDA,"47.364,82"
10.000.000013.2023,SECRETARIA DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA,19/01/2023,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE,24.116.337/0001-27 - PAPELARIA E LIVRARIA PEDRO II LTDA - EPP,"31.406,08"
25.203.000119.2023,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,19/01/2023,SERVIÇO EMERGENCIAL DE MANUTENÇÃO PREVENTIVA E CORRETIVA COM REPOSIÇÃO DE PEÇAS EM APARELHOS DE AR ,07.400.977/0001-45 - PLANTEK SERVICOS LTDA,"75.570,00"
25.203.000120.2023,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,19/01/2023,LOCAÇÃO EMERGENCIAL DE USINA DE GASES MEDICINAIS E VÁCUO,05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,"66.000,00"
25.206.000035.2023,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/01/2023,AQUISIÇÃO DE GASES MEDICINAIS,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"242.769,20"
25.208.000012.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,19/01/2023,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS,25.354.054/0001-86 - J L F MARTINS SUPERMERCADO NORDESTINO LTDA,"315.631,01"
31.205.000079.2023,SECTMA/SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MEIO AMBIENTE,19/01/2023,SERVIÇOS DE JARDINAGEM,32.768.081/0001-60 - CLEBER AUGUSTO MACHADO DA SILVA 96620412149,"18.000,00"
22.201.000121.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,20/01/2023,MATERIAL DE CONSUMO.,97.552.790/0001-50 - SAMPAIO LEITE CONSTRUCOES LTDA,"27.455,78"
22.201.000122.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,20/01/2023,MATERIAL DE CONSUMO - ÁGUA MINERAL,07.227.808/0001-55 - B.J. COMERCIO DE ALIMENTOS LTDA,"20.843,00"
25.240.000003.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,20/01/2023,FORNECIMENTO DE REFEIÇÕES TIPO QUENTINHAS,15.081.369/0001-43 - IS RISTO GASTRONOMIA LTDA,"4.023.180,00"
25.208.000013.2023,SES/COMPLEXO DE SAÚDE DE PICUÍ,23/01/2023,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,17.227.485/0001-53 - L G PRODUTOS HOSPITALARES LTDA,"2.113.809,10"
25.213.000035.2023,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,23/01/2023,CONTRATAÇÃO DE EMPRESA PARA MANUTENÇÃO CORRETIVA DE EQUIPAMENTOS LABORATORIAIS E HOSPITALARES,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"438.000,00"
25.301.000001.2023,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,23/01/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO E SUPORTE TÉCNICO DE PONTO ELETRÔNICO,17.018.554/0001-19 - VLADMIR DE MATOS LEITÃO - ME,"850,00"
19.000.000392.2023,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,24/01/2023,CONTRATAÇÃO DE SEGURO DE ESTAGIÁRIO ,87.883.807/0001-06 - MBM SEGURADORA SA,"361,20"
25.000.010967.2023,SECRETARIA DE ESTADO DA SAÚDE,24/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA ME,"3.000,00"
25.000.012895.2023,SECRETARIA DE ESTADO DA SAÚDE,24/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA ME,"3.000,00"
25.240.000005.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/01/2023,LOCAÇÃO DE 01 (UM) APARELHO ARCO CIRÚRGICO,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"171.000,00"
25.301.000002.2023,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,25/01/2023,AQUISIÇÃO DE ÁGUA MINERAL CONFORME DEFINIDO NO TERMO DE REFERÊNCIA,30.195.510/0001-22 - VICENTE AFONSO SARMENTO GADELHA,"6.000,00"
25.203.000174.2023,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,26/01/2023,COMPRA EMERGÊNCIAL DE  DESCARTAVÉIS,12.596.148/0001-10 - JOSÉ FRANCISCO DE ANDRADE JUNIOR COMERCIAL ANDRADE,"412.960,00"
37.000.000011.2023,"SECRETARIA DE ESTADO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO",26/01/2023,AQUISIÇÃO DE MATERIAL DE CONSUMO (COPO DESCARTÁVEL 180 ML),20.498.149/0001-50 - AGV COMERCIO VAREJISTA DE EMBALAGENS LTDA,"2.673,00"
22.000.002958.2023,SECRETARIA DE ESTADO DA EDUCAÇÃO E DA CIÊNCIA E TECNOLOGIA,27/01/2023,AQUISIÇÃO DE PRODUTO QUÍMICO ( DICLORO ISOCIANURATO),20.476.623/0001-42 - CARBALLO COMERCIO LTDA - EPP,"40.780,00"
25.240.000009.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,27/01/2023,SERVIÇOS DE EXAMES POR IMAGEM DE TOMOGRAFIA COMPUTADORIZADA,08.716.557/0001-35 - CLINICA RADIOLOGICA DR. WANDERLEY LTDA,"314.895,00"
21.901.000009.2023,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,30/01/2023,SERVIÇOS DE COFFEE BREAK - O EMPREENDER E AS CIDADES,"16.631.594/0001-79 - DROP'S BUFFET, EVENTOS E ESCOLA GASTRONÔMICA EIRELI","13.780,00"
25.301.000003.2023,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,30/01/2023,AQUISIÇÃO DE TESTES PSICOLÓGICO,08.778.268/0058-04 - JOALISON DE ALMEIDA GOMES,"14.540,00"
25.301.000004.2023,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,30/01/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM DEDETIZAÇÃO,37.441.609/0001-06 - MATHEUS ALMEIDA DE MATOS FIGUEIREDO,"1.500,00"
25.216.000079.2023,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,31/01/2023,CONTRAT. DE EMP. ESP. MANUT. PREV. CORR. EM MACAS HIDRÁULICAS E CAMAS ELÉTRICAS CARÁTER EMERGENCIAL,20.947.671/0001-71 - ANTONIO DE ARRUDA PINTO,"468.300,00"
26.000.001052.2023,SECRETARIA DE ESTADO DA SEGURANÇA E DA DEFESA SOCIAL,31/01/2023,PASSAGENS AÉREAS,00.448.994/0001-03 - CLASSIC VIAGENS E TURISMO EIRELI,"2.500,00"
31.202.000333.2023,SEIE/SUPERINTENDÊNCIA DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO,31/01/2023,AQUISIÇÃO DE PASSAGENS AÉREAS NACIONAIS.,00.448.994/0001-03 - CLASSIC VIAGENS E TURISMO EIRELI,"11.784,18"
32.901.900002.2023,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,31/01/2023,AQUIS. DE EQUIPAMENTOS DE INFORMÁTICA (NOTEBOOK) PARA ATENDER DEMANDAS DE SETORES DA SEDAP.,48.572.327/0001-64 - EDSON DE ALBUQUERQUE BEZERRA,"420.000,00"
07.000.000018.2023,"SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER",01/02/2023,AQUISIÇÃO DE MATERIAL QUÍMICO,20.476.623/0001-42 - CARBALLO COMERCIO LTDA - EPP,"55.531,00"
25.216.000066.2023,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,01/02/2023,"SERVIÇO DE MANUTENÇÃO NO SISTEMA DE VÁCUO HOSPITALAR, EM CARÁTER EMERGENCIAL",20.947.671/0001-71 - ANTONIO DE ARRUDA PINTO,"48.000,00"
25.216.000068.2023,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,01/02/2023,"CONTRATAÇÃO DE EMP. PARA MANUT. NOS EQUIP. DE ESTERELIZAÇÃO E LAVANDERIA, EM CARÁTER EMERGENCIAL",10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"288.000,00"
32.901.900004.2023,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,01/02/2023,"CONTRAT.DE EMPRESA DE SERV. DE DEDETIZAÇÃO, CONTROLE DE INTEGRADO DE INSETOS E ROEDORES/SEDAP ",08.405.904/0001-09 - DETISA DEDETIZACAO E IMUNIZACAO LTDA,"45.300,00"
10.000.000019.2023,SECRETARIA DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA,02/02/2023,SERVIÇO DE SEGURANÇA ELETRONICA,11.666.572/0001-20 - SEGPOL SEGURANÇA ELETRONICA,"24.750,00"
32.901.900005.2023,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,02/02/2023,AQUIS.DE MAT. PERMANENTE (02 DRONES) P/ATENDER DEFESA AGROPECUÁRIA,25.206.944/0001-40 - LUCAS FRANCO PACIFICO 70021398437,"17.800,00"
32.901.900006.2023,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,02/02/2023,CONTRAT.DE EMPRESA ESPEC. NA PREST. DE SERV. CONSULTORIA E ACOMP. DE PROJETOS CONVÊNIO E EMENDAS,10.954.450/0001-77 - IRAMILTON SATIRO DA NOBREGA,"54.000,00"
07.000.000023.2023,"SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER",03/02/2023,AQUISIÇÃO DE CAFÉ E AÇÚCAR,30.911.924/0001-00 - TEM DE TUDO COMERCIO E SERVICOS LTDA,"3.658,00"
25.216.000118.2023,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,03/02/2023,AQUISIÇÃO DE INSUMOS E REAGENTES EM CARATER EMERGENCIAL,06.242.018/0001-86 - EXPANSAO COM.DE PROD.DE DIAGNOSTICOS LTDA,"302.649,00"
25.234.000006.2023,LACEN - LABORATORIO CENTRAL DE SAÚDE PÚBLICA,03/02/2023,AQUISIÇÃO DE TESTES E CONCESSÃO DE EQUIP. E PERIFÉRICOS EM COMODATO PARA TESTE DO PEZINHO,02.771.724/0001-64 - MULT DIAGNOSTICA LTDA,"2.496.000,00"
25.206.000037.2023,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,06/02/2023,AQUISIÇÃO DE FÓRMULAS LÁCTEAS ENTERAIS,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"14.133,08"
22.201.000167.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,07/02/2023,LOCAÇÃO DE MÃO-DE-OBRA (SERVIÇO DE SEGURANÇA DESARMADA) ,17.392.053/0001-06 - PLENITUDE SEGURANÇA PRIVADA LTDA,"21.000,00"
22.201.000169.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,07/02/2023,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA (SERVIÇO DE LOCAÇÃO DE CADEIRA PLÁSTICA),Razão Social não encontrada,"2.800,00"
25.203.000121.2023,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,08/02/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE GRUPO GERADOR 500KVA,15.353.461/0001-15 - AMBAR SERVICOS EIRELI,"90.000,00"
25.206.000038.2023,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,08/02/2023,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS,43.711.857/0001-22 - JKJ DISTRIBUIDORA DE ALIMENTOS LTDA,"47.619,85"
25.206.000039.2023,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,08/02/2023,AQUISIÇÃO DE HORTIFRUTIGRANJEIROS,00.821.449/0001-10 - ROSEMBLITH DE ARAUJO SILVA,"49.884,40"
25.240.000023.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,08/02/2023,AQUISIÇÃO DE INSUMOS PARA A AGÊNCIA TRANSFUSIONAL,25.307.090/0001-99 - MEDICALAB COMERCIO ATACADISTA DE PRODUTOS MEDICOS LTDA,"28.907,32"
22.201.000241.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,09/02/2023,MATERIAL DE CONSUMO.,09.516.312/0001-27 - SOUZA COSTA MATERIAL DE CONSTRUCAO LTDA,"24.054,85"
31.205.000569.2023,SECTMA/SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MEIO AMBIENTE,09/02/2023,AQUISIÇÃO DE SWITCHES 48 PORTAS,05.080.834/0001-78 - INFORMAQ COM.E REC.DE SERV.DE INF.LTDA,"19.988,00"
