Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,
33.000.000080.2024,SECRETARIA DE ESTADO DA CULTURA,01/02/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇOS DE MANUTENÇÃO DOS ELEVADORES DO MUSEU DA CIDADE,10.902.052/0001-07 - PARAIBA ELEVADORES LTDA - ME,"13.200,00",
33.000.000081.2024,SECRETARIA DE ESTADO DA CULTURA,01/02/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM MANUTENÇÃO PREVENTIVA E CORRETIVA DE AR CONDICIONADO,50.371.857/0001-96 - GUERRA COMÉRCIO E SERVIÇOS LTDA,"9.348,00",
33.000.000088.2024,SECRETARIA DE ESTADO DA CULTURA,01/02/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇOS DE JARDINAGEM E PAISAGISMO,18.684.903/0001-02 - FLORA TERRA FORTE,"35.000,00",
25.000.015465.2024,SECRETARIA DE ESTADO DA SAÚDE,02/02/2024,CONTRATAÇÃO EMERGENCIAL DE SERVIÇO ,21.036.048/0001-20 - CENTRO MEDICO  MARIANA,"10.560,00",
31.201.000014.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,02/02/2024,SERVIÇO DE CONFECÇÃO DE CALENDÁRIOS 2024,18.146.232/0001-18 - SPEED GRÁFICA,"8.400,00",
25.000.010631.2024,SECRETARIA DE ESTADO DA SAÚDE,05/02/2024,AQUISIÇÃO EMERGENCIAL DE PRÓTESE ,04.715.053/0001-40 - DENUO MEDIC IMPORTACAO E EXPORTACAO LTDA,"20.000,00",
25.000.027600.2024,SECRETARIA DE ESTADO DA SAÚDE,05/02/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S) ,09.053.134/0009-00 - ELFA MEDICAMENTOS S.A.,"839.204,40",
32.901.900001.2024,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,05/02/2024,"CONTRAT. DE EMPR. ESP. LOCAÇÃO DE TENDAS, ESTANTE, DISCIPLINADORES.P/ATENDER EVENTOS AGROP. DA SEDAP",31.100.099/0001-27 - KASA DA FALESIA EVENTOS E RECEPCOES LTDA,"57.350,00",
25.300.000001.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,06/02/2024,FORNECIMENTO DE QUENTINHA - ALMOÇO,17.240.948/0001-17 - MARIA DE LOURDES DOS SANTOS SERVICOS,"18.000,00",
25.300.000002.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,06/02/2024,FORNECIMENTO DE QUENTINHA - JANTAR,38.598.188/0001-94 - AVELINA SOARES LIMA DE MEDEIROS,"18.000,00",
25.300.000003.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,06/02/2024,"SERVIÇO DE EXAMES LABORATORIAIS - MATERIAIS, INSUMOS, EPI´S E EXAMES",10.682.541/0001-09 - GIBSON DE ARAUJO MEDEIROS ME,"17.895,39",
25.300.000004.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,06/02/2024,AQUISIÇÃO DE TNT,26.230.669/0001-63 - MEDEIROS E FRAZAO ARTIGOS DE ARMARINHO LTDA,"20.500,00",
25.300.000005.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,06/02/2024,AQUISIÇAO DE DESCARTÁVEIS,13.132.610/0001-90 - TAYANNE KELLY CARLOS BATISTA,"14.316,00",
28.000.000070.2024,PROJETO COOPERAR,06/02/2024,PF - SERVIÇOS TÉCNICOS DE ENGENHARIA ELÉTRICA RELATIVOS A ENERGIA SOLAR FOTOVOLTAICA,095.597.904-80 - ARTHUR FELIPE GADELHA ALBUQUERQUE,"33.750,00",
32.901.900002.2024,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,06/02/2024,AQUISIÇÃO DE CARTUCHO E TONER P/ATENDER DEMANDA DA DEFESA AGROPECUÁRIA,07.583.037/0001-39 -  GRUPO SAD COMERCIO E SERVICOS DE INFORMATICA LTDA - ME,"3.776,00",
33.000.000100.2024,SECRETARIA DE ESTADO DA CULTURA,06/02/2024, CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇOS DE COQUETEL,11.778.547/0001-39 - MIX COQUETEIS,"56.613,00",
21.901.000025.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,07/02/2024,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE CERCA ELÉTRICA,53.935.850/0001-48 - 53.935.850 RIVALDO DE PAIVA ONOFRE FILHO,"1,00",
25.000.025845.2024,SECRETARIA DE ESTADO DA SAÚDE,07/02/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S,07.484.373/0001-24 - UNI HOSPITALAR LTDA,"337.300,12",
25.205.000019.2024,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,07/02/2024,SERVIÇO DE SISTEMA DE INFORMAÇÕES RADIOLOGICAS ,94.982.097/0001-29 - JAIR AZAMBUJA VIANA,"57.000,00",
09.201.000083.2024,CCG/PARAÍBA PREVIDÊNCIA,08/02/2024,SERVIÇO DE CONSULTORIA ATUARIAL,24.756.013/0001-53 - INOVE CONSULTORIA ATUARIAL LTDA,"48.000,00",
09.201.000084.2024,CCG/PARAÍBA PREVIDÊNCIA,08/02/2024,SERVIÇO DE GERENCIAMENTO DO ABASTECIMENTO DE COMBUSTÍVEIS,27.284.516/0001-61 - MAXIFROTA SERVICOS DE MANUTENÇÃO DE FROTA LTDA,"49.891,00",
25.000.000769.2024,SECRETARIA DE ESTADO DA SAÚDE,08/02/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"2.249.538,50",
25.302.000016.2024,SES/CONSELHO ESTADUAL DE SAUDE,08/02/2024,AQUISICAO DE MATERIAL DE EXPEDIENTE,45.236.929/0001-52 - RAMONILZA DA SILVA ARRUDA CAMARA,"3.623,08",
32.901.900003.2024,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,08/02/2024,CONTRAT DE SERVIÇOS DE COFFEE BREAK PARA EVENTOS DO CALENDÁRIO ANUAL DAS FEIRAS DE EXPOSIÇÕES.,21.406.916/0001-16 - PÉRICLES VIEIRA NUNES,"58.000,00",
38.000.000035.2024,POLICIA CIVIL DO ESTADO DA PARAIBA,08/02/2024,CONTRATAÇÃO DE SERVIÇOS DE COLETA DE RESÍDUOS ,20.474.613/0002-59 - WASTE COLETA DE RESÍDUOS HOSPITALARES LTDA,"56.640,00",
21.901.000027.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,09/02/2024,"AQUISIÇÃO DE EQUIPAMENTOS DE ÁUDIO, VÍDEO E FOTO ",08.309.659/0001-36 - EXECUTIVE INFORMATICA LTDA.,"10.061,00",
27.000.000628.2024,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,09/02/2024,"AQUISIÇÃO DE MATERIAL DE CONSUMO (KITS DE BALIZADORES PEDESTAL) PARA OS RESTAURANTES POPULARES DE JOÃO PESSOA, SANTA RITA, CAMPINA GRANDE E PATOS",03.013.781/0001-47 - TREVENTOS COMERCIO DE EQUIPAMENTOS DE SEGURANCA LTDA. - EPP,"2.400,00",
28.000.000071.2024,PROJETO COOPERAR,09/02/2024,PF- SERVIÇOS TÉCNICOS DE  ENGENHARIA HIDRÁULICA E SANEAMENTO,160.677.114-00 - LAUDELINO DE ARAÚJO PEDROSA FILHO,"52.000,00",
35.204.012968.2024,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,09/02/2024,VENDA E RECARGA PARCELADA DE BOTIJÃO DE GÁS BUTANO,03.092.570/0001-47 - REVENDEDORA DE GAS DO BRASIL LTDA,"17.700,00",
25.000.013446.2024,SECRETARIA DE ESTADO DA SAÚDE,14/02/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0015-30 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPÍTALARES E ONCOLOGICOS LTDA,"533.395,20",
32.000.800005.2024,SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUÁRIA E DA PESCA,15/02/2024,AQUIS.DE MATERIAL DE LIMPEZA P/ATENDER AS NECESSIDADES DA SEDAP,44.720.353/0001-31 - SIGMA SOLUÇÕES,"38.389,80",
35.204.010552.2024,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,15/02/2024,MAT. DE CONSUMO PARA UTIL. NAS MORADIAS UNIVERSITÁRIAS DOS CAMPI DA UEPB,00.581.768/0001-04 - KATIA TAVEIRA DA SILVA COSTA,"22.530,00",
35.204.013111.2024,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,16/02/2024,AQUISIÇÃO DE MATERIAL PERMANENTE PARA UTILIZAÇÃO NO RESTAURANTE UNIVERSITÁRIO,45.579.602/0001-83 - MAIS DISTRIBUIÇÕES PB COMÉRCIO E SERVIÇOS LTDA,"28.128,00",
25.301.000002.2024,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,19/02/2024,CONTRATAÇÃO DE EMPRESA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS DE INFORMÁTICA.,09.338.884/0001-63 - AMQ COMÉRCIO DE SERVIÇOS LTDA,"52.500,03",
33.000.000030.2024,SECRETARIA DE ESTADO DA CULTURA,19/02/2024, CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇOS DE TRANSMISSÃO DE REUNIÕES DO CONSELHO ESTADUAL DE POLÍTICA CULTURAL DA PARAÍBA - CONSECULT/PB E EVENTOS DA SECRETARIA DE ESTADO DA CULTURA.,"22.427.423/0001-25 - MILLS ESTÚDIOS CINEMATOGRÁFICOS E SERVIÇOS AUDIOVISUAIS, COMUNICAÇÃO E PUBLICIDADE LTDA - EPP","18.000,00",
16.000.000008.2024,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DO DESENVOLVIMENTO DO SEMIÁRIDO,20/02/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE INSTALAÇÃO E MONTAGEM DE DIVISÓRIAS (DRYWALL, ESTRTURA DE MDF, PAINÉIS RIPADOS DE MDF, VIDRO, PORTAS)",10.673.625/0001-78 - C2 COMÉRCIO DE MERCADORIAS E SERVIÇOS EIRELI,"46.500,00",
25.301.000001.2024R1,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,20/02/2024,"CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE IMPRESSORAS, COM FORNECIMENTO, MANUTENÇÃO CORRETIVA E PREVENTIVA DE EQUIPAMENTOS",02.914.690/0001-10 - COPY LINE COMERCIO E SERVICOS LTDA,"36.000,00",
32.901.900004.2024,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,20/02/2024,"SERV. DE LOC. DE PAINEIS, SONORIZAÇÃO E ILUMINAÇÃO P/EVENTOS AGROPECUÁRIOS",40.292.626/0001-33 - MX PRODUÇÕES MISICAIS LTDA,"59.196,00",
35.204.000306.2024,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,20/02/2024,MAT. PARA UTILIZ. NO REST. UNIVERSITÁRIO DO  CAMPUS V – DA UEPB.,03.092.570/0001-47 - REVENDEDORA DE GAS DO BRASIL LTDA,"12.298,00",
25.000.000949.2024,SECRETARIA DE ESTADO DA SAÚDE,21/02/2024,AQUISIÇAO EMERGENCIAL ,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA,"7.900,00",
32.901.900006.2024,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,21/02/2024,"SERV. DE LOC. DE PAVILHÃO, PALCO, E TRAVE DE GRID  P/EVENTOS AGROPECUÁRIOS",04.203.988/0001-47 - JSL LOCACOES E MONTAGENS LTDA,"58.300,00",
37.000.000086.2024,"SECRETARIA DE ESTADO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO",21/02/2024,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS (CAFÉ),08.811.226/0019-03 - SAO BRAZ S A IND E COM DE ALIMENTOS,"8.778,00",
25.300.000006.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,22/02/2024,AQUISIÇÃO DE GENEROS ALIMENTICIOS SECOS,24.066.165/0001-24 - LUZIA PEREIRA DA SILVA,"7.070,00",
25.300.072024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,22/02/2024,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR,32.407.715/0001-50 - PAULO RICARDO CORDEIRO DE GOIS,"37.810,50",
25.300.082024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,22/02/2024,AQUISIÇÃO DE MEDICAMENTOS,32.407.715/0001-50 - PAULO RICARDO CORDEIRO DE GOIS,"19.333,00",
31.201.000496.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,22/02/2024,SACOLA DE LIXO VEICULAR,40.324.686/0001-90 - SUELI QUIRINO DA SILVA MACEDO,"5.500,00",
09.103.000001.2024,CASA MILITAR,23/02/2024,AQUISIÇÃO LANCHES PARA OS MILITARES EMPREGADOS EM EVENTOS DA CMG-PB - DISPENSA DE LICITAÇÃO,23.525.290/0001-92 - THASSILA KAREN DOS SANTOS BEZERRA,"21.000,00",
21.901.000044.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,23/02/2024,AQUISIÇÃO DE APARELHOS DE AR CONDICIONADO COM INSTALAÇÃO,08.449.096/0001-81 - CANAPU COMERCIO DE DISTRIBUICAO LTDA,"42.990,00",
25.206.000027.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,23/02/2024,AQUISIÇÃO DE MEDICAMENTOS,52.448.000/0001-52 - NORTMED PRODUTOS HOSPITALARES,"7.600,00",
25.300.092024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,23/02/2024,AQUISIÇÃO DE SERVIÇOS GRÁFICOS,16.889.821/0001-60 - CARLOS EDUARDO S.MELO,"4.005,25",
25.300.102024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,23/02/2024,AQUISIÇÃO DE MEDICAMENTOS DE USO CONTROLADO,45.357.178/0001-22 - MARIA E FERREIRA,"3.322,45",
25.300.112024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,23/02/2024,AQUISIÇÃO DE GASES MEDICINAIS,05.329.135/0001-19 - ALEXSANDRO SANTOS DA SILVA LTDA,"13.000,00",
25.300.122024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,23/02/2024,AQUISIÇÃO DE MEDICAMENTOS,32.407.715/0001-50 - PAULO RICARDO CORDEIRO DE GOIS,"26.182,80",
25.300.132024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,23/02/2024,SERVIÇO DE OUTSOURCING DE IMPRESSÃO,29.883.721/0001-79 - J M DE M SILVA INFORMATICA E PAPELARIA,"18.000,00",
25.300.142024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,23/02/2024,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR,32.407.715/0001-50 - PAULO RICARDO CORDEIRO DE GOIS,"40.315,10",
20.000.400110.2024,SECRETARIA DE ESTADO DA FAZENDA,26/02/2024,AQUISIÇÃO DE TRANSPALETE HIDRÁULICO MANUAL,11.358.671/0001-45 - GRANFER - IMPORTADORA E DISTRIBUIDORA DE FERRAGENS LTDA,"16.080,00",
21.000.000054.2024,SECRETARIA DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONÔMICO,26/02/2024,CERTIFICADO DIGITAL E-CNPJ - FCCJP,09.017.110/0001-30 - MJL - TELECOMUNICAÇÕES E INFORMÁTICA LTDAC - ME,"129,00",
23.102.000001.2024,CORPO DE BOMBEIROS MILITAR DO ESTADO DA PARAÍBA/ 1º COMANDO REGIONAL BOMBEIRO MILITAR,26/02/2024,COMPRA DE MATERIAIS DE EXPEDIENTE PARA UTILIZAÇÃO DO 1° COMANDO REGIONAL DE BOMBEIRO MILITAR DA PARAÍBA,20.873.342/0001-23 - HC COMERCIO DE PAPELARIA E SERVICOS LTDA,"3.788,20",
26.000.000089.2024,SECRETARIA DE ESTADO DA SEGURANÇA E DA DEFESA SOCIAL,26/02/2024,CONTRATAÇÃO DA FUNDAÇÃO PARAIBANA DE GESTÃO EM SAÚDE (PB SAÚDE) PARA A GESTÃO E PRESTAÇÃO DOS SERVIÇOS DA POLICLÍNICA INTEGRADA DA SEGURANÇA PÚBLICA DO ESTADO DA PARAÍBA (POINSP),38.111.778/0001-40 - FUNDACAO PARAIBANA DE GESTAO EM SAUDE -PB SAUDE,"11.566.715,81",
31.201.000498.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,26/02/2024,AQUISIÇÃO DE LANCHE PARA ATENDER AS DEMANDAS DAS EQUIPES DE FUNCIONÁRIOS DA G.E.T. NA OPERAÇÃO CARNAVAL SEGURO 2024,05.672.519/0001-30 - PADARIA PONTES LTDA,"5.056,80",
21.205.000049.2024,SETDE/JUNTA COMERCIAL DO ESTADO DA PARAIBA,27/02/2024,AQUISIÇÃO DE CERTIFICADO SSL PARA O PORTAL REDESIM PB (SSL WILDCARD),11.587.975/0001-84 - ONLINE CERTIFICADORA LTDA,"834,50",
25.301.000003.2024,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,27/02/2024, MANUTENÇÃO PREVENTIVA E CORRETIVA EM CÂMERAS DE MONITORAMENTO,24.309.493/0001-04 - AGUSTINHO SOARES DANTAS,"31.200,00",
25.301.000004.2024,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,27/02/2024,EMPRESA ESPECIALIZADA EM MANUTENÇÃO PREVENTIVA E CORRETIVA EM TELEFONES,24.309.493/0001-04 - AUGUSTINHO SOARES DANTAS,"14.400,00",
31.201.000634.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,27/02/2024,"AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA - MONITORES, SCANNERS E LEITORES DE CÓDIGO DE BARRAS",20.758.543/0001-80 - MIXX TECNOLOGIA COMERCIO DE INFORMATICA LTDA,"10.659,00",
21.000.000056.2024,SECRETARIA DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONÔMICO,28/02/2024,AQUISIÇÃO DE CAIXA SENSORIAL EM MDF,42.948.791/0001-26 - KASSUA.COM.BR LTDA,"6.700,20",
25.205.000025.2024,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,28/02/2024,SERVIÇO DE LOCAÇÃO DE CÂMERAS DE MONITORAMENTO,28.513.078/0001-29 - JEANE DO NASCIMENTO REGIS,"19.200,00",
26.000.000081.2024,SECRETARIA DE ESTADO DA SEGURANÇA E DA DEFESA SOCIAL,28/02/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONFECÇÃO E INSTALAÇÃO DE GRADIL DE ALUMÍNIO,12.135.561/0001-87 - IRADY VALENCA DE SANTANA EIRELI,"9.900,00",
31.201.001022.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,28/02/2024,SOLICITAÇÃO MATERIAL DE COPA ,38.320.250/0001-81 - A J ALVES DIAS,"14.876,20",
32.000.800008.2024,SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUÁRIA E DA PESCA,28/02/2024,"CONTRAT.DE EMP. ESPEC. P/ PRESTAR SERVIÇOS DE REVISÃO, CORREÇÃO E ADEQUAÇÃO DA PARTE ELÉTRICA/SEDAP ",23.654.274/0001-08 - JOELDER ALVES DO NASCIMENTO,"59.760,00",
32.000.800009.2024,SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUÁRIA E DA PESCA,28/02/2024,AQUISIÇÃO MATERIAL DE EXPEDIENTE PARA ATENDER A DEMANDA DA SEDAP,04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA,"56.945,50",
25.300.000019.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,29/02/2024,AQUISIÇÃO DE TNT,26.230.669/0001-63 - MEDEIROS E FRAZAO ARTIGOS DE ARMARINHO LTDA,"13.175,00",
25.300.162024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,29/02/2024,FORNECIMENTO DE QUENTINHA - ALMOÇO,54.238.154/0001-45 - JOSE ILTON DOS SANTOS COMERCIO E SERVIÇOS,"21.600,00",
25.300.172024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,29/02/2024,FORNECIMENTO DE QUENTINHA - JANTAR,38.598.188/0001-94 - AVELINA SOARES LIMA DE MEDEIROS COMERCIO E SERVIÇOS,"10.800,00",
25.300.182024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,29/02/2024,"SERVIÇO DE EXAMES LABORATORIAIS - MATERIAIS, INSUMOS, EPI´S E EXAMES",10.682.541/0001-09 - GILBON DE ARAUJO MEDEIROS,"40.000,00",
25.300.202024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,29/02/2024,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR,45.357.178/0001-22 - MARIA E FERREIRA,"49.123,00",
25.300.212024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,29/02/2024,AQUISIÇAO DE DESCARTÁVEIS,13.132.610/0001-90 - TAYANNE KELLY CARLOS BATISTA,"9.240,00",
