Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado
25.000.002160.2022,SECRETARIA DE ESTADO DA SAÚDE,07/01/2022,"OBRAS P/ IMPLANTAÇÃO DO TOMÓGRAFO, CONSTRUÇÃO DE ABRIGO DE RESÍDUOS, READEQUAÇÕES NA CME",27.343.319/0001-76 - B3M CONSTRUTORA EIRELI,"306.330,00"
25.000.002952.2022,SECRETARIA DE ESTADO DA SAÚDE,07/01/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,64.171.697/0001-46 - ACCORD FARMACEUTICA LTDA,"17.400,00"
25.203.002080.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,07/01/2022,CONTRATAÇÃO EMERGENCIAL PARA LOCA. DE EQUIPA. LABORATORIAIS COM FORNECI. DE REAGENTES E INSUMOS,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,"2.466.429,80"
25.213.000004.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,07/01/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE IMPRESSORAS EM COMODATO.,42.268.108/0001-00 - H HONORATO ALEXANDRE ME,"92.712,00"
25.216.000003.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,07/01/2022,NUTRIÇÃO ENTERAL PEDIÁTRICA E FÓRMULAS INFANTIS  / DISPENSA 180 DIAS,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"51.012,25"
25.216.000004.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,07/01/2022,NUTRIÇÃO ENTERAL SISTEMA FECHADO / DISPENSA 180 DIAS,07.160.019/0001-44 - VITALE COMÉRCIO LTDA,"27.025,00"
25.235.000004.2022,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,07/01/2022,AQUISIÇÃO DE MEDICAMENTOS,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","701.578,70"
30.000.144696.2022,ENCARGOS GERAIS DO ESTADO,07/01/2022,LOCAÇÃO DE IMÓVEL ECIT FRANCISCA MARTINIANO DA ROCHA EM LAGOA SECA,437.197.084-20 - JOSÉ XAVIER DE BRITO,"3.000,00"
21.901.000184.2022,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,10/01/2022,PLATAFORMA DIGITAL DOCUMENTAL - PBDOC,09.189.499/0001-00 - COMPANHIA DE PROC.DE DADOS DA PARAIBA - CODATA,"40.992,00"
24.000.000129.2022,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,10/01/2022,PROTEÍNA DE ORIGEM ANIMAL (CARNES),17.020.542/0001-29 - DISTRIBUIDORA BRAZMAC LTDA,"5.859.217,30"
24.000.000130.2022,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,10/01/2022,GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS,12.763.423/0001-42 - EI COMERCIO DE ALIMENTOS LTDA,"4.244.872,39"
25.206.000001.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,10/01/2022,AQUISIÇÃO DE HORTIFRUTIGRANJEIROS,00.821.449/0001-10 - ROSEMBLITH DE ARAUJO SILVA,"233.742,52"
25.206.000002.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,10/01/2022,AQUISIÇÃO DE GASES MEDICINAIS,32.754.143/0001-85 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"516.263,35"
25.206.000003.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,10/01/2022,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS,26.290.355/0001-56 - LUCIELMA MARIA OLIVEIRA DA SILVA - EPP,"248.658,92"
25.206.000006.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,10/01/2022,AQUISIÇÃO DE CARNES,19.447.850/0001-60 - DISTRIBUIDORA FF ALIMENTOS LTDA - ME,"626.490,00"
25.206.000007.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,10/01/2022,POLPAS DE FRUTAS,04.408.503/0001-51 - IND.DE POLPAS DE FRUTA IDEAL LTDA,"83.004,00"
25.213.000005.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,10/01/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE EXAMES LABORATORIAIS,09.199.878/0001-72 - LACIL - LABORATORIO DE ANALISES CLINICAS DR. ISAAC LORDAO LTDA,"853.077,00"
30.000.273591.2022,ENCARGOS GERAIS DO ESTADO,10/01/2022,LOCAÇÃO DE IMÓVEL DELEGACIA DE POLÍCIA CIVIL EM SERRA REDONDA,789.202.054-34 - KALINA LIGIA CAVALCANTE LEAL BELARMINO,"820,00"
25.216.000005.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,11/01/2022,"AQUISIÇÃO DE LEITES, BEBIDA LÁCTEA E QUEIJOS / DISPENSA 180 DIAS",41.632.681/0001-98 - IVONETE VIEIRA,"165.711,00"
25.216.000006.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,11/01/2022,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS  / DISPENSA 180 DIAS,19.447.850/0001-60 - DISTRIBUIDORA FF ALIMENTOS LTDA - ME,"502.258,91"
25.204.000002.2022,SES/COMPLEXO DE SAÚDE JULIANO MOREIRA,13/01/2022,AQUISIÇÃO DE HORTIFRUTIGRANJEIRO .,23.265.304/0001-86 - EZEQUIAS VIEIRA DA SILVA,"138.014,10"
25.216.000008.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,13/01/2022,"AQUISIÇÃO DE NUTRIÇÃO ENTERAL, SUPLEMENTAÇÃO E MÓDULOS  / DISPENSA 180 DIAS",29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"584.761,44"
25.213.000009.2022,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,14/01/2022,AQUISIÇÃO DE TESTES PARA GASOMETRIA,07.936.090/0001-76 - BIOMED DIST. HOSP. E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA,"172.800,00"
25.215.000001.2022,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,14/01/2022,MATERIAL DE LAVANDERIA   COM EQUIPAMENTO EM COMODATO,33.778.280/0001-12 - BAKVEL COMERCIO DE PRODUTOS DE LIMPEZA LTDA,"220.848,50"
25.205.012214.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,17/01/2022,AQUISIÇÃO DE MATERIAL DE CURATIVO,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"124.785,00"
27.201.000154.2022,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",18/01/2022,DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,24.527.758/0001-40 - ROMULO PABLO ABRANTES SILVA,"694.008,00"
25.216.000009.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,19/01/2022,AQUISIÇÃO DE HORTIFRUTIGRANJEIRO EM CARÁTER EMERGENCIAL  / DISPENSA 180 DIAS,03.160.525/0001-82 - NORT FRUT EIRELI,"258.953,72"
25.237.000001.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),19/01/2022,AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO PARA 180 DIAS,03.092.570/0001-47 - REVENDEDORA DE GAS DO BRASIL LTDA,"46.200,00"
25.237.000002.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),19/01/2022,"AQUISIÇÃO DE CARNES, DERIVADOS E QUEIJOS PARA 180 DIAS",26.290.355/0001-56 - LUCIELMA MARIA OLIVEIRA DA SILVA - EPP,"275.915,00"
25.216.000010.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,20/01/2022,AQUISIÇÃO DE POLPAS DE FRUTAS / DISPENSA 180 DIAS,02.368.789/0001-63 - INDUSTRIA DE POLPAS NATURAL SABOR EIRELI,"90.100,00"
25.237.000017.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),20/01/2022,AQUISIÇÃO DE EQUIPOS PARA BOMBAS DE INFUSÃO COM EQUIPAMENTO EM COMODATO. ,58.426.628/0001-33 - SAMTRONIC IND.E COMERCIO LTDA,"319.200,00"
24.000.000217.2022,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,21/01/2022,AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO CARGA 13KG E A GRANEL,11.893.112/0001-35 - SOS GAS DISTRIBUIDORA LTDA,"1.669.273,80"
23.901.000002.2022,CBMPB/FUNDO ESPECIAL DO CORPO DE BOMBEIROS,24/01/2022,SERVIÇO DE MÁQUINAS VIRTUAIS CODATA,09.189.499/0001-00 - COMPANHIA DE PROC.DE DADOS DA PARAIBA - CODATA,"73.305,60"
25.216.000011.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,24/01/2022,AQUISIÇÃO DE PANIFICADOS / DISPENSA 180 DIAS,15.081.369/0001-43 - IS RISTO GASTRONOMIA,"142.232,31"
25.216.000012.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,24/01/2022,SERVIÇO DE MANUTENÇÃO PREVENTIVA E/OU CORRETIVA EM REDE ELETRICA - EM CARATER EMERGENCIAL ,34.698.763/0001-70 - LUCIANO CAMPOS,"283.000,00"
22.000.016738.2022,SECRETARIA DE ESTADO DA EDUCAÇÃO E DA CIÊNCIA E TECNOLOGIA,25/01/2022,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS GRÁFICOS,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICAÇAO S.A -EPC,"6.725.500,00"
25.206.000023.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,25/01/2022,AQUISIÇÃO DE MATERIAL DE HIGIENE E LIMPEZA ,09.183.224/0001-50 - O ESCOLAR COMERCIO E SERVICOS LTDA,"361.691,28"
25.206.000024.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,25/01/2022,AQUISIÇÃO MATERIAL DE LAVANDERIA,09.647.712/0001-71 - NEW CLEAN INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA EIRELI,"166.857,60"
25.206.000030.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,25/01/2022,AQUISIÇÃO DE REAGENTES MATERIAL LABORATORIAL E MICROBIOLOGIA C/ CESSÃO DE USO DE EQUIPAMENTOS,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,"403.463,52"
25.216.000013.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,25/01/2022,CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM MAQUINAS E EQUIPAMENTOS EMERGENCIAL ,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"4.601.172,00"
25.237.000030.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),25/01/2022,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,44.768.391/0001-64 - F F MELO MATERIAL MEDICO HOSPITALAR E ODONTOLOGICO,"827.678,69"
25.237.000031.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),25/01/2022,AQUISIÇÃO DE OUTROS MATERIAIS DE CONSUMO (180 DIAS),24.085.444/0001-35 - ALAN RUDNEY CABRAL DE LIMA,"193.421,79"
25.237.000032.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),25/01/2022,AQUISIÇÃO DE MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO (180 DIAS),21.318.384/0001-65 - J.T.A. COMERCIO DE ARTIGOS DESCARTAVEIS LTDA,"289.886,43"
30.000.147768.2022,ENCARGOS GERAIS DO ESTADO,25/01/2022,LOCAÇÃO DE IMÓVEL 3ª CIA DO 11º BPM EM SERRA BRANCA,094.707.534-88 - THEO ALBINO RIBEIRO BARROS,"2.220,00"
30.000.148829.2022,ENCARGOS GERAIS DO ESTADO,25/01/2022,LOCAÇÃO DE IMÓVEL CASA DE ABRIGAMENTO PROVISÓRIO DO SERTÃO EM SOUSA,07.783.507/0001-08 - PAU BRASIL ATACADO DISTRIBUIDOR DE ALIMENTOS LTDA – ME,"3.500,00"
25.203.000056.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,26/01/2022,CONTRATAÇÃO EMERGENCIAL DE SERVIÇOS NEFROLÓGICOS,09.291.683/0001-58 - NEFRUZA SERVICOS NEFROLOGICOS FIUZA CHAVES LTDA - EPP,"246.000,00"
25.237.000003.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),26/01/2022,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS (180 DIAS),21.318.384/0001-65 - J.T.A. COMERCIO DE ARTIGOS DESCARTAVEIS LTDA,"292.900,19"
25.237.000033.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),26/01/2022,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE (180 DIAS),21.318.384/0001-65 - J.T.A. COMERCIO DE ARTIGOS DESCARTAVEIS LTDA,"38.400,40"
30.000.003895.2022,ENCARGOS GERAIS DO ESTADO,26/01/2022,LOCAÇÃO DE IMÓVEL DESTACAMENTO DA POLÍCIA MILITAR EM ALAGOINHA,096.274.027-61 - IVANEIDE DA SILVA SANTOS,"600,00"
25.000.002531.2022,SECRETARIA DE ESTADO DA SAÚDE,27/01/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (OCTREOTIDA SAL ACETATO DE 20 E DE 30 MG/ML),04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"138.318,78"
21.901.000009.2022,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,28/01/2022,SERVIÇO OUTSOURCING DE IMPRESSÃO (EMERGENCIAL),40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,"13.380,48"
25.237.000022.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),28/01/2022,AQUISIÇÃO DE MEDICAMENTOS ANTIMICROBIANOS (180 DIAS),38.346.373/0001-91 - C R SILVA LIBERATO COMERCIO DE MEDICAMENTO LTDA,"214.700,50"
25.237.000024.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),28/01/2022,AQUISIÇÃO DE SOROS (180 DIAS),49.324.221/0008-80 - FRESENIUS KABI BRASIL LTDA,"143.545,00"
25.237.000027.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),28/01/2022,AQUISIÇÃO DE HORTIFRUTIGRANJEIROS (180 DIAS),00.248.741/0001-96 - JOSE CLAUDIVAN DE OLIVEIRA,"145.532,10"
38.000.005129.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,28/01/2022,REFORMA E RESTAURAÇÃO DA SEDE DA 7ª DSPC EM MAMANGUAPE PB,01.309.949/0001-30 - 1001 SERVIÇOS DE ENGENHARIA E CONST.LTDA,"65.714,74"
25.000.002306.2022,SECRETARIA DE ESTADO DA SAÚDE,31/01/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PALBOCICLIBE 125 MG) ,11.563.145/0001-17 - COMERCIAL MOSTAERT LIMITADA,"356.693,40"
25.000.002840.2022,SECRETARIA DE ESTADO DA SAÚDE,31/01/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,18.459.628/0097-67 - BAYER S.A.,"209.883,32"
25.205.012220.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,31/01/2022,AQUISIÇÃO DE DIETA ENTERAL E SUPLEMENTO ALIMENTAR,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"416.947,40"
25.216.000014.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,31/01/2022,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR EM CARATER EMERGENCIAL - 180 DIAS,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","4.902.525,78"
25.237.000023.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),31/01/2022,AQUISIÇÃO DE MEDICAMENTOS ANTI-INFLAMATÓRIOS (180 DIAS),11.260.846/0001-87 - ANBIOTON IMPORTADORA LTDA,"66.503,40"
25.237.000025.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),31/01/2022,"AQUISIÇÃO DE MEDICAMENTOS CARDÍACO, RESPIRATÓRIO, DIGESTIVO E ENDÓCRINO (180 DIAS)",12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"290.758,07"
25.237.000026.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),31/01/2022,AQUISIÇÃO DE MEDICAMENTOS DIVERSOS (180 DIAS),12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"288.887,92"
37.000.000373.2022,"SECRETARIA DE ESTADO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO",31/01/2022,CONTRATAÇÃO DE EMPRESA PARA CONFECÇÃO DE CAMISAS SEODE.,33.932.061/0001-46 - LEÃO COMÉRCIO DE MULTI UTILIDADES LTDA,"13.330,00"
25.000.002272.2022,SECRETARIA DE ESTADO DA SAÚDE,01/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PAZOPANIBE 400 MG),04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"989.739,00"
25.000.002953.2022,SECRETARIA DE ESTADO DA SAÚDE,01/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"2.314,65"
25.000.003643.2022,SECRETARIA DE ESTADO DA SAÚDE,01/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,24.331.585/0001-90 - MULTICARE PHARMACEUTICALS LTDA,"499.512,96"
25.205.012221.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,01/02/2022,AQUISIÇÃO DE MATERIAL DE HIGIENE E LIMPEZA,07.066.636/0001-85 - SUPREME MERCANTIL COMERCIAL LTDA,"116.598,90"
25.205.012222.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,01/02/2022,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS NÃO PERECÍVEIS E HORTIFRUTIGRANJEIROS,07.227.808/0001-55 - B.J. COMERCIO DE ALIMENTOS LTDA,"450.843,50"
25.206.000082.2022,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,01/02/2022,AQUISIÇÃO DE MATERIAIS DESCARTÁVEIS,09.183.224/0001-50 - O ESCOLAR COMERCIO E SERVICOS LTDA,"185.410,96"
38.000.000022.2022,POLICIA CIVIL DO ESTADO DA PARAIBA,01/02/2022,LOCAÇÃO DE IMPRESSORAS MULTIFUNCIONAIS,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,"85.600,00"
15.000.000005.2022,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,02/02/2022,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, DESINSTALAÇÃO E INSTALAÇÃO DE CONDICIONADORES DE AR",07.400.977/0001-45 - PLANTEK SERVICOS LTDA,"8.634,00"
25.000.003097.2022,SECRETARIA DE ESTADO DA SAÚDE,02/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"1.922,40"
25.000.003125.2022,SECRETARIA DE ESTADO DA SAÚDE,02/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (CLORIDRATO DE PONATINIBE 15MG) ,04.307.650/0025-02 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"191.845,80"
25.000.003135.2022,SECRETARIA DE ESTADO DA SAÚDE,02/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DIVALPROATO DE SÓDIO 500MG) ,"05.106.015/0001-52 - CALL MED COMERCIO DE MEDICAMENTOS E REP, LTDA","1.209,60"
25.216.000015.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,02/02/2022,AQUISIÇÃO DE SORO EM CARATER EMERGENCIAL  PARA 180 DIAS,49.324.221/0008-80 - FRESENIUS KABI BRASIL LTDA,"1.399.950,00"
25.216.000016.2022,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,02/02/2022,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR (FIODS E AFINS) EM CARATER EMERGENCIAL - 180 DIAS,27.985.664/0001-03 - EUROMED COMERCIO DE MEDICAMENTOS LTDA,"520.009,12"
09.202.000009.2022,CCG/AGÊNCIA DE REGULAÇÃO DO ESTADO DA PARAÍBA,03/02/2022,LOCAÇÃO DE IMÓVEL NÃO RESIDENCIAL,12.350.064/0001-00 - MENDES MAIA PARTICIPACAO E ADMINISTRACAO LTDA,"600.000,00"
25.000.002938.2022,SECRETARIA DE ESTADO DA SAÚDE,03/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,12.420.164/0009-04 - CM HOSPITALAR S.A.,"301.130,95"
25.203.000069.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,03/02/2022,EMERGENCIAL SERVIÇO DE LOCAÇÃO DE EQUIPAMENTOS DE ULTRASSOM,34.235.284/0001-17 - TECHNOCARE COMERCIO E SERVISOS DE PRODUTOS MEDICOS E HOSPITALARES LTDA,"188.280,00"
25.237.000038.2022,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),03/02/2022,CONTRATAÇÃO DE SOFTWARE DE GESTÃO HOSPITALAR (180 DIAS),71.613.996/0001-59 - WARELINE DO BRASIL DESENVOLVIMENTO DE SOFTWARE LTDA,"36.425,40"
30.000.140810.2022,ENCARGOS GERAIS DO ESTADO,03/02/2022,LOCAÇÃO DE IMÓVEL GTR IV  DA AGEVISA EM SOUSA,007.349.734-70 - FRANCISCO KARTNEY SARMENTO PEDROSA,"800,00"
25.000.003094.2022,SECRETARIA DE ESTADO DA SAÚDE,04/02/2022,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DUPILUMABE 300MG/ML) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"44.222,64"
25.000.003129.2022,SECRETARIA DE ESTADO DA SAÚDE,04/02/2022,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","2.951,64"
25.203.000093.2022,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,04/02/2022,EMERGENCIAL DE MATERIAL DESCARTÁVEL,30.563.069/0001-94 - LIMP VIVA COMÉRCIO VAREJISTA DE MATERIAL DE LIMPEZA LTDA,"266.217,40"
25.205.012224.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,04/02/2022,AQUISIÇÃO DE CARNES E ASSEMELHADOS,17.020.542/0001-29 - DISTRIBUIDORA BRAZMAC LTDA,"517.650,78"
25.205.012225.2022,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,04/02/2022,AQUISIÇÃO DE ÁGUA MINERAL,39.432.332/0001-80 - JAC COMERCIO DE PRODUTOS EIRELI,"12.298,32"
