Textbox2,NumPregão2,DataCriacao1,NumParticipantes,Orgao2,SIGLA,Modalidade2,Data de Abertura,Objeto,ClassObjeto,Razão Social,Total Adjudicado,Valor
2.500.011.015.892.010,DISPENSA DE LICITAÇÃO,18/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,18/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,5.931.115,5931115
190.000.386.082.019,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,SEAD,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE CONCURSO PÚBLICO ,19/03/2019,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE CONCURSO PÚBLICO ,Contratação de serviços em geral,12.667.012/0001-53 - INSTITUTO AOCP,39,39
2.500.024.015.502.010,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RANIBIZUMABE 10MG/ML),19/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RANIBIZUMABE 10MG/ML),Compra de Medicamentos,56.994.502/0026-98 - NOVARTIS BIOCIENCIAS S.A.,262.905,262905
2.500.025.015.342.010,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES, ESBRIET 267MG,19/03/2019, ESBRIET 267MG,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,46.251,46251
2.500.030.015.392.010,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ALFA 1 ANTITRIPSINA - AAT - 1000ML SOLUÇÃO INJETÁVEL 50ML),19/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ALFA 1 ANTITRIPSINA - AAT - 1000ML SOLUÇÃO INJETÁVEL 50ML),Compra de Medicamentos,09.284.952/0001-59 - KEDRION BRASIL DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,204.207,204207
250.007.025.852.019,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,REALIZAÇÃO DE 50 (CINQUENTA) SESSÕES DE OXIGENOTERAPIA HIPERBÁRICA,19/03/2019,REALIZAÇÃO DE 50 (CINQUENTA) SESSÕES DE OXIGENOTERAPIA HIPERBÁRICA,Exame Hospitalar,28.154.149/0001-44 - CLINICA MEDICA HIPERBARICA PARAIBA LTDA,19,19000
250.007.125.522.019,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TAGRISSO 80MG) ,19/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TAGRISSO 80MG) ,Compra de Medicamentos,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,140.734,140734
250.002.901.195.992.000,DISPENSA DE LICITAÇÃO,20/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,20/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,840.118,840118
252.060.000.842.019,DISPENSA DE LICITAÇÃO,20/03/2019,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,SES,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR (TÊXTEIS E EPI),20/03/2019,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR (TÊXTEIS E EPI),Materiais e Equipamentos Hospitalares,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,166.056,166056
2.500.011.015.742.010,DISPENSA DE LICITAÇÃO,21/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,21/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,285.831,285831
250.004.025.262.019,DISPENSA DE LICITAÇÃO,22/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DENOSUMABE 60MG/ML) ,22/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DENOSUMABE 60MG/ML) ,Compra de Medicamentos,Razão Social não encontrada,864,864000
2.500.023.015.972.010,DISPENSA DE LICITAÇÃO,25/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,25/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,269.576,269576
252.060.000.862.019,DISPENSA DE LICITAÇÃO,25/03/2019,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,SES,AQUISIÇÃO DE SORO E ÁGUA DESTILADA,,,Compra de Medicamentos,,,
222.010.004.642.019,DISPENSA DE LICITAÇÃO,26/03/2019,1,SEC,SEC,MATERIAL PERMANENTE,,,Compra de material permanente,,,
250.001.036.032.019,DISPENSA DE LICITAÇÃO,26/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (SUSTAIN EM PÓ),,,Suplementos e Leite Fórmula,,,
2.500.013.025.072.010,DISPENSA DE LICITAÇÃO,26/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MAT MED (CURATIVOS BIATAIN,,,Materiais e Equipamentos Hospitalares,,,
2.500.013.025.082.010,DISPENSA DE LICITAÇÃO,26/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (SORAFENIBE TOSILATO 200MG) ,,,Compra de Medicamentos,,,
2.500.016.015.412.010,DISPENSA DE LICITAÇÃO,26/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,,,Compra de Medicamentos,,,
2.500.019.125.482.010,DISPENSA DE LICITAÇÃO,26/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE IMPLANTE COCLEAR 422...,,,Materiais e Equipamentos Hospitalares,,,
250.007.125.472.019,DISPENSA DE LICITAÇÃO,26/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,,,Compra de Medicamentos,,,
252.060.000.882.019,DISPENSA DE LICITAÇÃO,26/03/2019,1,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,SES,AQUISIÇÃO DE MEDICAMENTOS,,,Compra de Medicamentos,,,
292.020.001.182.019,DISPENSA DE LICITAÇÃO,26/03/2019,4,SECOM/A UNIÃO SUPERINTENDÊNCIA DE IMPRENSA E EDITORA,SECOM,AQUISIÇÃO DE MATERIAL GRÁFICO  (QUIMICO),,,Serviços Gráficos e de Impressão,,,
2.500.021.025.662.010,DISPENSA DE LICITAÇÃO,27/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERG DE MED (ENOXAPARINA SÓDICA 40 MG/0,,,Compra de Medicamentos,,,
170.000.370.772.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SECRETARIA DE ESTADO DA RECEITA,SER,CONTRATAÇÃO DO SERVIÇO DE RECUPERAÇÃO,,,Contratação de serviços em geral,,,
250.001.036.002.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DARATUMUMABE 100MG E 400MG,,,Compra de Medicamentos,,,
250.001.036.022.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ALFA 1 ANTITRIPSINA 1000MG SOLUÇÃO INJETÁVEL 50ML) ,,,Compra de Medicamentos,,,
312.030.000.142.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SEIE/COMPANHIA DOCAS DA PARAÍBA,SEIE,CONTRATAÇÃO DE EMPRESA PARA PRESTAR SERVIÇO DE DESENVOLVIMENTO E ELABORAÇÃO,,,Contratação de serviços em geral,,,
250.001.036.082.019,DISPENSA DE LICITAÇÃO,1/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE FRALDA GERIÁTRICA DESCARTÁVEL ,1/4/2019,AQUISIÇÃO EMERGENCIAL DE FRALDA GERIÁTRICA DESCARTÁVEL ,Materiais e Equipamentos Hospitalares,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,1.605,1605
2.500.025.015.312.010,DISPENSA DE LICITAÇÃO,1/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,MEDICAMENTO (LACOSAMIDA 150MG),1/4/2019,MEDICAMENTO (LACOSAMIDA 150MG),Compra de Medicamentos,09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,2.627,2627
250.001.035.992.019,DISPENSA DE LICITAÇÃO,2/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,2/4/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,81.887.838/0001-40 - PROFARMA SPCIALTY S/A,208.483,208483
2.500.015.025.272.010,DISPENSA DE LICITAÇÃO,2/4/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (ENSURE PÓ SABOR BAUNILHA),2/4/2019,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (ENSURE PÓ SABOR BAUNILHA),Suplementos e Leite Fórmula,Razão Social não encontrada,2.64,2640
222.040.067.652.019,DISPENSA DE LICITAÇÃO,3/4/2019,,SEE,SEE,AQUISIÇÃO DE MATERIAL PERMANENTE COM RECURSOS DO CONVÊNIO 797781/2013,3/4/2019,AQUISIÇÃO DE MATERIAL PERMANENTE COM RECURSOS DO CONVÊNIO 797781/2013,Compra de material permanente,Razão Social não encontrada,17.482,17482
250.001.036.072.019,DISPENSA DE LICITAÇÃO,4/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTOS ,,,Suplementos e Leite Fórmula,,,
170.000.188.272.019,DISPENSA DE LICITAÇÃO,5/4/2019,1,SECRETARIA DE ESTADO DA RECEITA,SER,CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DE TABELA DE COBRANÇA DO IPVA 2020.,,,Contratação de serviços em geral,,,
2.500.015.035.552.010,DISPENSA DE LICITAÇÃO,5/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,MESALAZINA 1200 MG,,,Compra de Medicamentos,,,
92.020.000.502.019,DISPENSA DE LICITAÇÃO,8/4/2019,1,CCG/AGÊNCIA DE REGULAÇÃO DO ESTADO DA PARAÍBA,CCG,SERVIÇOS DE LOCAÇÃO E MANUTENÇÃO DE IMPRESSORAS MULTIFUNCIONAIS MONOCROMÁTICAS.,,,Conserto e Manutenção de equipamentos,,,
2.500.015.035.622.010,DISPENSA DE LICITAÇÃO,8/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,FÓRMULA NUTRICIONAL (NUTRIDRINK MAX),,,Suplementos e Leite Fórmula,,,
170.000.344.492.019,DISPENSA DE LICITAÇÃO,9/4/2019,1,SECRETARIA DE ESTADO DA RECEITA,SER,AQUISIÇÃO DE ÁGUA POTÁVEL PARA OS POSTOS FISCAIS DE ALCANTIL E PERNAMBUQUINHO,,,Alimentação para quentinhas e outros,,,
2.500.022.035.592.010,DISPENSA DE LICITAÇÃO,9/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISICAO EMERGENCIAL ,,,Contratação de serviços em geral,,,
2.500.022.035.852.010,DISPENSA DE LICITAÇÃO,9/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISICAO EMERGENCIAL ,,,Contratação de serviços em geral,,,
2.500.013.025.042.010,DISPENSA DE LICITAÇÃO,11/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,,,Compra de Medicamentos,,,
2.500.015.035.522.010,DISPENSA DE LICITAÇÃO,11/4/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,MEDICAMENTO USTEQUINUMABE 45MG/0,,,Compra de Medicamentos,,,
250.001.035.972.019,DISPENSA DE LICITAÇÃO,15/04/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,,,Compra de Medicamentos,,,
250.002.045.072.019,DISPENSA DE LICITAÇÃO,15/04/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE FÓRMULA NUTRICIONAL (NUTREN JUNIOR 400MG) A FIM DE ATENDER DEMANDA JUDICIAL,,,Suplementos e Leite Fórmula,,,
250.002.045.262.019,DISPENSA DE LICITAÇÃO,15/04/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE FÓRMULAS NUTRICIONAIS,,,Suplementos e Leite Fórmula,,,
