Textbox2,NumPregão2,DataCriacao1,NumParticipantes,Orgao2,Modalidade2,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor
2.500.016.015.342.010,DISPENSA DE LICITAÇÃO,28/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 265MG) ,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 265MG) ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,46.251,46251
2.500.026.115.702.010,DISPENSA DE LICITAÇÃO,28/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,256.803,256803
2.500.023.015.952.010,DISPENSA DE LICITAÇÃO,1/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,PERTUZUMABE 420MG/14ML,SECRETARIA DE ESTADO DA SAÚDE,1/3/2019,PERTUZUMABE 420MG/14ML,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,152.314,152314
250.004.025.162.019,DISPENSA DE LICITAÇÃO,1/3/2019,,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML),SECRETARIA DE ESTADO DA SAÚDE,1/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML),Razão Social não encontrada,253.856,253856
312.030.000.112.019,DISPENSA DE LICITAÇÃO,1/3/2019,1,SEIE/COMPANHIA DOCAS DA PARAÍBA,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUTAR SERVIÇO DE LIMPEZA GERAL MECANIZADA DO,SEIE/COMPANHIA DOCAS DA PARAÍBA,1/3/2019,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUTAR SERVIÇO DE LIMPEZA GERAL MECANIZADA DO,32.322.882/0001-06 - PEROLA INCORPORAÇÕES E CONSTRUÇOES LTDA,54.615,54615
170.000.173.782.019,DISPENSA DE LICITAÇÃO,6/3/2019,1,SECRETARIA DE ESTADO DA RECEITA,CONTRATAÇÃO DE SERVIÇOS,SECRETARIA DE ESTADO DA RECEITA,6/3/2019,CONTRATAÇÃO DE SERVIÇOS,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,7.2,7200
250.004.025.202.019,DISPENSA DE LICITAÇÃO,6/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,6/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,813,813
222.040.041.062.019,DISPENSA DE LICITAÇÃO,7/3/2019,,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,7/3/2019,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,Razão Social não encontrada,43,43000
22.204.720.820.182.000,DISPENSA DE LICITAÇÃO,7/3/2019,1,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,7/3/2019,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,67.774.679/0001-47 - NOVA ANALITICA IMP.E EXP.LTDA,44.432,44432
2.500.011.125.802.010,DISPENSA DE LICITAÇÃO,8/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,SECRETARIA DE ESTADO DA SAÚDE,8/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,127,127
250.007.125.502.019,DISPENSA DE LICITAÇÃO,8/3/2019,,SECRETARIA DE ESTADO DA SAÚDE,SUPLEMENTO NUTRICIONAL,SECRETARIA DE ESTADO DA SAÚDE,8/3/2019,SUPLEMENTO NUTRICIONAL,Razão Social não encontrada,7.92,7920
2.500.029.015.922.010,DISPENSA DE LICITAÇÃO,11/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,11/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,2.246,2246
252.060.000.632.019,DISPENSA DE LICITAÇÃO,11/3/2019,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO DE MEDICAMENTOS,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,11/3/2019,AQUISIÇÃO DE MEDICAMENTOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,42.279,42279
2.500.011.015.782.010,DISPENSA DE LICITAÇÃO,12/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,12/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,10.015,10015
2.500.012.075.272.010,DISPENSA DE LICITAÇÃO,12/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY ,SECRETARIA DE ESTADO DA SAÚDE,12/3/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY ,09.235.615/0001-71 - LABORATORIO PARAIBANO DE ANALISES CLINICAS LTDA,8.5,8500
2.500.017.125.252.010,DISPENSA DE LICITAÇÃO,12/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL  A FIM DE ATENDER DEMANDA JUDICIAL ,SECRETARIA DE ESTADO DA SAÚDE,12/3/2019,AQUISIÇÃO EMERGENCIAL  A FIM DE ATENDER DEMANDA JUDICIAL ,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,8.4,8400
250.001.066.442.019,DISPENSA DE LICITAÇÃO,13/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CARIÓTIPO DE SANGUE,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CARIÓTIPO DE SANGUE,Razão Social não encontrada,750,750
250.001.115.552.019,DISPENSA DE LICITAÇÃO,13/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,Razão Social não encontrada,4.702,4702
2.500.012.026.062.010,DISPENSA DE LICITAÇÃO,13/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,KIT S DE SOROLOGIA,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,KIT S DE SOROLOGIA,01.896.764/0001-70 - DIASORIN LTDA,675.681,675681
2.500.016.015.682.010,DISPENSA DE LICITAÇÃO,13/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,305.29,305290
2.500.029.016.212.010,DISPENSA DE LICITAÇÃO,14/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,EXAME CGH-ARRAY 850K ,SECRETARIA DE ESTADO DA SAÚDE,14/03/2019,EXAME CGH-ARRAY 850K ,09.235.615/0001-71 - LABORATÓRIO PARAIBANO DE ANALISES CLINICAS LTDA,6,6000
2.500.016.015.692.010,DISPENSA DE LICITAÇÃO,15/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,15/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,56.994.502/0027-79 - NOVARTIS BIOCIENCIAS SA,2.937,2937
2.500.025.015.352.010,DISPENSA DE LICITAÇÃO,15/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,SECRETARIA DE ESTADO DA SAÚDE,15/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,1.95,1950
2.500.011.015.882.010,DISPENSA DE LICITAÇÃO,18/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ABIRATERONA ACETATO 250MG) ,SECRETARIA DE ESTADO DA SAÚDE,18/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ABIRATERONA ACETATO 250MG) ,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,1.726.704,1726704
2.500.011.015.892.010,DISPENSA DE LICITAÇÃO,18/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,18/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,5.931.115,5931115
190.000.386.082.019,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE CONCURSO PÚBLICO ,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO,19/03/2019,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE CONCURSO PÚBLICO ,12.667.012/0001-53 - INSTITUTO AOCP,39,39
2.500.024.015.502.010,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RANIBIZUMABE 10MG/ML),SECRETARIA DE ESTADO DA SAÚDE,19/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RANIBIZUMABE 10MG/ML),56.994.502/0026-98 - NOVARTIS BIOCIENCIAS S.A.,262.905,262905
2.500.025.015.342.010,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE, ESBRIET 267MG,SECRETARIA DE ESTADO DA SAÚDE,19/03/2019, ESBRIET 267MG,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,46.251,46251
2.500.030.015.392.010,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ALFA 1 ANTITRIPSINA - AAT - 1000ML SOLUÇÃO INJETÁVEL 50ML),SECRETARIA DE ESTADO DA SAÚDE,19/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ALFA 1 ANTITRIPSINA - AAT - 1000ML SOLUÇÃO INJETÁVEL 50ML),09.284.952/0001-59 - KEDRION BRASIL DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,204.207,204207
250.007.025.852.019,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,REALIZAÇÃO DE 50 (CINQUENTA) SESSÕES DE OXIGENOTERAPIA HIPERBÁRICA,SECRETARIA DE ESTADO DA SAÚDE,19/03/2019,REALIZAÇÃO DE 50 (CINQUENTA) SESSÕES DE OXIGENOTERAPIA HIPERBÁRICA,28.154.149/0001-44 - CLINICA MEDICA HIPERBARICA PARAIBA LTDA,19,19000
250.007.125.522.019,DISPENSA DE LICITAÇÃO,19/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TAGRISSO 80MG) ,SECRETARIA DE ESTADO DA SAÚDE,19/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (TAGRISSO 80MG) ,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,140.734,140734
250.002.901.195.992.000,DISPENSA DE LICITAÇÃO,20/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,20/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,840.118,840118
252.060.000.842.019,DISPENSA DE LICITAÇÃO,20/03/2019,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR (TÊXTEIS E EPI),SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,20/03/2019,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR (TÊXTEIS E EPI),01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,166.056,166056
2.500.011.015.742.010,DISPENSA DE LICITAÇÃO,21/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,21/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,285.831,285831
250.004.025.262.019,DISPENSA DE LICITAÇÃO,22/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DENOSUMABE 60MG/ML) ,SECRETARIA DE ESTADO DA SAÚDE,22/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DENOSUMABE 60MG/ML) ,Razão Social não encontrada,864,864000
2.500.023.015.972.010,DISPENSA DE LICITAÇÃO,25/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,25/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,269.576,269576
252.060.000.862.019,DISPENSA DE LICITAÇÃO,25/03/2019,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO DE SORO E ÁGUA DESTILADA,,,,,,
222.010.004.642.019,DISPENSA DE LICITAÇÃO,26/03/2019,1,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,MATERIAL PERMANENTE,,,,,,
250.001.036.032.019,DISPENSA DE LICITAÇÃO,26/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (SUSTAIN EM PÓ),,,,,,
2.500.013.025.072.010,DISPENSA DE LICITAÇÃO,26/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MAT MED (CURATIVOS BIATAIN,,,,,,
2.500.013.025.082.010,DISPENSA DE LICITAÇÃO,26/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (SORAFENIBE TOSILATO 200MG) ,,,,,,
2.500.016.015.412.010,DISPENSA DE LICITAÇÃO,26/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,,,,,,
2.500.019.125.482.010,DISPENSA DE LICITAÇÃO,26/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE IMPLANTE COCLEAR 422...,,,,,,
250.007.125.472.019,DISPENSA DE LICITAÇÃO,26/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,,,,,,
252.060.000.882.019,DISPENSA DE LICITAÇÃO,26/03/2019,1,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO DE MEDICAMENTOS,,,,,,
292.020.001.182.019,DISPENSA DE LICITAÇÃO,26/03/2019,4,SECOM/A UNIÃO SUPERINTENDÊNCIA DE IMPRENSA E EDITORA,AQUISIÇÃO DE MATERIAL GRÁFICO  (QUIMICO),,,,,,
2.500.021.025.662.010,DISPENSA DE LICITAÇÃO,27/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERG DE MED (ENOXAPARINA SÓDICA 40 MG/0,,,,,,
170.000.370.772.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SECRETARIA DE ESTADO DA RECEITA,CONTRATAÇÃO DO SERVIÇO DE RECUPERAÇÃO,,,,,,
250.001.036.002.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DARATUMUMABE 100MG E 400MG,,,,,,
250.001.036.022.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ALFA 1 ANTITRIPSINA 1000MG SOLUÇÃO INJETÁVEL 50ML) ,,,,,,
312.030.000.142.019,DISPENSA DE LICITAÇÃO,29/03/2019,1,SEIE/COMPANHIA DOCAS DA PARAÍBA,CONTRATAÇÃO DE EMPRESA PARA PRESTAR SERVIÇO DE DESENVOLVIMENTO E ELABORAÇÃO,,,,,,
250.001.036.082.019,DISPENSA DE LICITAÇÃO,1/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE FRALDA GERIÁTRICA DESCARTÁVEL ,SECRETARIA DE ESTADO DA SAÚDE,1/4/2019,AQUISIÇÃO EMERGENCIAL DE FRALDA GERIÁTRICA DESCARTÁVEL ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,1.605,1605
2.500.025.015.312.010,DISPENSA DE LICITAÇÃO,1/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,MEDICAMENTO (LACOSAMIDA 150MG),SECRETARIA DE ESTADO DA SAÚDE,1/4/2019,MEDICAMENTO (LACOSAMIDA 150MG),09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,2.627,2627
250.001.035.992.019,DISPENSA DE LICITAÇÃO,2/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,2/4/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,81.887.838/0001-40 - PROFARMA SPCIALTY S/A,208.483,208483
2.500.015.025.272.010,DISPENSA DE LICITAÇÃO,2/4/2019,,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (ENSURE PÓ SABOR BAUNILHA),SECRETARIA DE ESTADO DA SAÚDE,2/4/2019,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (ENSURE PÓ SABOR BAUNILHA),Razão Social não encontrada,2.64,2640
222.040.067.652.019,DISPENSA DE LICITAÇÃO,3/4/2019,,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,AQUISIÇÃO DE MATERIAL PERMANENTE COM RECURSOS DO CONVÊNIO 797781/2013,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,3/4/2019,AQUISIÇÃO DE MATERIAL PERMANENTE COM RECURSOS DO CONVÊNIO 797781/2013,Razão Social não encontrada,17.482,17482
250.001.036.072.019,DISPENSA DE LICITAÇÃO,4/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTOS ,,,,,,
170.000.188.272.019,DISPENSA DE LICITAÇÃO,5/4/2019,1,SECRETARIA DE ESTADO DA RECEITA,CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DE TABELA DE COBRANÇA DO IPVA 2020.,,,,,,
2.500.015.035.552.010,DISPENSA DE LICITAÇÃO,5/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,MESALAZINA 1200 MG,,,,,,
92.020.000.502.019,DISPENSA DE LICITAÇÃO,8/4/2019,1,CCG/AGÊNCIA DE REGULAÇÃO DO ESTADO DA PARAÍBA,SERVIÇOS DE LOCAÇÃO E MANUTENÇÃO DE IMPRESSORAS MULTIFUNCIONAIS MONOCROMÁTICAS.,,,,,,
2.500.015.035.622.010,DISPENSA DE LICITAÇÃO,8/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,FÓRMULA NUTRICIONAL (NUTRIDRINK MAX),,,,,,
170.000.344.492.019,DISPENSA DE LICITAÇÃO,9/4/2019,1,SECRETARIA DE ESTADO DA RECEITA,AQUISIÇÃO DE ÁGUA POTÁVEL PARA OS POSTOS FISCAIS DE ALCANTIL E PERNAMBUQUINHO,,,,,,
2.500.022.035.592.010,DISPENSA DE LICITAÇÃO,9/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISICAO EMERGENCIAL ,,,,,,
2.500.022.035.852.010,DISPENSA DE LICITAÇÃO,9/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISICAO EMERGENCIAL ,,,,,,
2.500.013.025.042.010,DISPENSA DE LICITAÇÃO,11/4/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,,,,,,
2.500.015.035.522.010,DISPENSA DE LICITAÇÃO,11/4/2019,,SECRETARIA DE ESTADO DA SAÚDE,MEDICAMENTO USTEQUINUMABE 45MG/0,,,,,,
250.001.035.972.019,DISPENSA DE LICITAÇÃO,15/04/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,,,,,,
